On supporting containment queries in relational database management systems,Chun Zhang; Jeffrey Naughton; David DeWitt; Qiong Luo; Guy Lohman,Abstract Virtually all proposals for querying XML include a class of query we term“containment queries”. It is also clear that in the foreseeable future; a substantial amount ofXML data will be stored in relational database systems. This raises the question of how tosupport these containment queries. The inverted list technology that underlies much ofInformation Retrieval is well-suited to these queries; but should we implement thistechnology (a) in a separate loosely-coupled IR engine; or (b) using the native tables andquery execution machinery of the RDBMS? With option (b); more than twenty years of workon RDBMS query optimization; query execution; scalability; and concurrency control andrecovery immediately extend to the queries and structures that implement these newoperations. But all this will be irrelevant if the performance of option (b) lags that of (a) by …,Acm Sigmod Record,2001,1174
Starburst mid-flight: as the dust clears (database project),Laura M.  Haas; Walter Chang; Guy M.  Lohman; John McPherson; Paul F.  Wilms; George Lapis; Bruce Lindsay; Hamid Pirahesh; Michael J.  Carey; Eugene Shekita,The purpose of the Starburst project is to improve the design of relational databasemanagement systems and enhance their performance; while building an extensible systemto better support nontraditional applications and to serve as a testbed for futureimprovements in database technology. The design and implementation of the Starburstsystem to date are considered. Some key design decisions and how they affect the goal ofimproved structure and performance are examined. How well the goal of extensibility hasbeen met is examined: what aspects of the system are extensible; how extensions can bedone; and how easy it is to add extensions. Some actual extensions to the system; includingthe experiences of the first real customizers; are discussed.,IEEE Transactions on knowledge and data engineering,1990,426
Extensible query processing in Starburst,Laura M Haas; Johann Christoph Freytag; Guy M Lohman; Hamid Pirahesh,Abstract Today's DBMSs are unable to support the increasing demands of the variousapplications that would like to use a DBMS. Each kind of application poses newrequirements for the DBMS. The Starburst project at IBM's Almaden Research Center aimsto extend relational DBMS technology to bridge this gap between applications and theDBMS. While providing a full function relational system to enable sharing acrossapplications; Starburst will also allow (sophisticated) programmers to add many kinds ofextensions to the base system's capabilities; including language extensions (eg; newdatatypes and operations); data management extensions (eg; new access and storagemethods) and internal processing extensions (eg; new join methods and new querytransformations). To support these features; the database query language processor must …,ACM SIGMOD Record,1989,380
Differential Files: Their Application to the Maintenance of Large Data Bases (Abstract),Dennis G.  Severance; Guy M.  Lohman,*,SIGMOD Conference,1976,380
LEO-DB2's learning optimizer,Michael Stillger; Guy M Lohman; Volker Markl; Mokhtar Kandil,Abstract Most modern DBMS optimizers rely upon a cost model to choose the best queryexecution plan (QEP) for any given query. Cost estimates are heavily dependent upon theoptimizer's estimates for the number of rows that will result at each step of the QEP forcomplex queries involving many predicates and/or operations. These estimates rely uponstatistics on the database and modeling assumptions that may or may not be true for a givendatabase. In this paper we introduce LEO; DB2's LEarning Optimizer; as a comprehensiveway to repair incorrect statistics and cardinality estimates of a query execution plan. Bymonitoring previously executed queries; LEO compares the optimizer's estimates withactuals at each step in a QEP; and computes adjustments to cost estimates and statistics thatmay be used during future query optimizations. This analysis can be done either on-line …,VLDB,2001,357
R* optimizer validation and performance evaluation for distributed queries,Lothar F Mackert; Guy M Lohman,Abstract Few database query optimizer models have been validated against actualperformance. This paper extends an earlier optimizer validation and performance evaluationof R* to distributed queries; ie single SQL statements having tables at multiple sites. ActualR* message; I/O; and CPU resources consumed—and the corresponding costs estimated bythe optimizer—were written to database tables using new SQL commands; permittingautomated control from application programs for collecting; reducing; and comparing testdata. A number of tests were run over a wide variety of dynamically-created test databases;SQL queries; and system parameters. Both high-speed networks (comparable to a localarea network) and medium-speed long-haul networks (for linking geographically dispersedhosts) were evaluated. The tests confirmed the accuracy of R*'s message cost model and …,*,1988,351
DB2 design advisor: integrated automatic physical database design,Daniel C Zilio; Jun Rao; Sam Lightstone; Guy Lohman; Adam Storm; Christian Garcia-Arellano; Scott Fadden,Abstract The DB2 Design Advisor in IBM® DB2® Universal Database TM (DB2 UDB)Version 8.2 for Linux®; UNIX® and Windows® is a tool that; for a given workload;automatically recommends physical design features that are any subset of indexes;materialized query tables (also called materialized views); shared-nothing databasepartitionings; and multidimensional clustering of tables. Our work is the very first industrial-strength tool that covers the design of as many as four different features; a significantadvance to existing tools; which support no more than just indexes and materialized views.Building such a tool is challenging; because of not only the large search space introducedby the interactions among features; but also the extensibility needed by the tool to supportadditional features in the future. We adopt a novel" hybrid" approach in the Design …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,335
DB2 advisor: An optimizer smart enough to recommend its own indexes,Gary Valentin; Michael Zuliani; Daniel C Zilio; Guy Lohman; Alan Skelley,This paper introduces the concept of letting an RDBMS optimizer optimize its ownenvironment. In our project; we have used the DB2 optimizer to tackle the index selectionproblem; a variation of the knapsack problem. This paper discusses our implementation ofindex recommendation; the user interface; and provide measurements on the quality of therecommended indexes.,Data Engineering; 2000. Proceedings. 16th International Conference on,2000,297
Grammar-like functional rules for representing query optimization alternatives,Guy M Lohman,Abstract Extensible query optimization requires that the “repertoire” of alternative strategiesfor executing queries be represented as data; not embedded in the optimizer code.Recognizing that query optimizers are essentially expert systems; several researchers havesuggested using strategy rules to transform query execution plans into alternative or betterplans. Though extremely flexible; these systems can be very inefficient at any step in theprocessing; many rules may be eligible for application and complicated conditions must betested to determine that eligibility during unification. We present a constructive;“buildingblocks” approach to defining alternative plans; in which the rules defining alternatives are anextension of the productions of a grammar to resemble the definition of a function inmathematics. The extensions permit each token of the grammar to be parametrized and …,ACM SIGMOD Record,1988,253
Measuring the complexity of join enumeration in query optimization,Kiyoshi Ono; Guy M Lohman,Introduction 314 (the second operand of the join) is the result of a join that must bematerialized in memory or-if it is too big-on disk. The heuristic saves this materialization; butmay exclude better plans for certain qucrics. As an example; suppose a query with four largetables '1'1; T2; 7'3; and T4 has two predicates Tl. Cl='1'2. C2 and '1'3. C3= T4. C4 that areextremely selective (rcstrictive); and one T2. C6= T4. C8 that is not.'I'hcn the plan ((Tl W T2)Cd (T3 fX '1'4)) with a composite inner (T3 W 1'4) is likely to be better than any plan avoidingthe composite inner; such as ((Tl 00 '1'2) W T4) W T3; because the intermediate results of thefirst plan would all be significantly smaller than any in the second plan. Another majorheuristic employed by both System R [% I; 791 and INURES[WON761 always defersCartesian products as late in the join sequence as possiblc; assuming that they result in …,VLDB Conference,1990,248
Extensions to Starburst: Objects; types; functions; and rules,Guy M Lohman; Bruce Lindsay; Hamid Pirahesh; K Bernhard Schiefer,Relational DBMSs; prototyped in the 1970s and now common in the marketplace; gainedpopularity largely because of their simple underlying concepts and high-level set-orientedquery languages that simplified application development. As the traditional recordkeepingapplications of DBMSs (eg; banking; insurance; personnel) have become moresophisticated; and as nontraditional applications (such as engineering databases) haveattempted to adapt off-the-shelf DBMSs; users have been frustrated by the difficulty and poorperformance of adding new features" on top of" commercial DBMSs; ie; in the applicationsrather than the DBMS itself. Yet their demands for new and increasingly complex features tobe built into the DBMS have overwhelmed the capacity of DBMS vendors to enhance theiralready complex products. Influenced by advances in modern programming languages …,Communications of the ACM,1991,240
