Trust-/spl Xscr/;: a peer-to-peer framework for trust establishment,Elisa Bertino; Elena Ferrari; Anna Cinzia Squicciarini,We present Trust-/spl Xscr/;; a comprehensive XML-based framework for trust negotiations;specifically conceived for a peer-to-peer environment. Trust negotiation is a promisingapproach for establishing trust in open systems like the Internet; where sensitive interactionsmay often occur between entities at first contact; with no prior knowledge of each other. Theframework we propose takes into account all aspects related to negotiations; from thespecification of the profiles and policies of the involved parties to the selection of the beststrategy to succeed in the negotiation. Trust-/spl Xscr/; presents a number of innovativefeatures; such as the support for protection of sensitive policies; the use of trust tickets tospeed up the negotiation; and the support of different strategies to carry on a negotiation. Inthis paper; besides presenting the language to encode security information; we present …,IEEE Transactions on Knowledge and data engineering,2004,297
Ensuring distributed accountability for data sharing in the cloud,Smitha Sundareswaran; Anna Squicciarini; Dan Lin,Cloud computing enables highly scalable services to be easily consumed over the Interneton an as-needed basis. A major feature of the cloud services is that users' data are usuallyprocessed remotely in unknown machines that users do not own or operate. While enjoyingthe convenience brought by this new emerging technology; users' fears of losing control oftheir own data (particularly; financial and health data) can become a significant barrier to thewide adoption of cloud services. To address this problem; in this paper; we propose a novelhighly decentralized information accountability framework to keep track of the actual usageof the users' data in the cloud. In particular; we propose an object-centered approach thatenables enclosing our logging mechanism together with users' data and policies. Weleverage the JAR programmable capabilities to both create a dynamic and traveling …,IEEE Transactions on Dependable and Secure Computing,2012,198
Collective privacy management in social networks,Anna Cinzia Squicciarini; Mohamed Shehab; Federica Paci,Abstract Social Networking is one of the major technological phenomena of the Web 2.0;with hundreds of millions of people participating. Social networks enable a form of selfexpression for users; and help them to socialize and share content with other users. In spiteof the fact that content sharing represents one of the prominent features of existing SocialNetwork sites; Social Networks yet do not support any mechanism for collaborativemanagement of privacy settings for shared content. In this paper; we model the problem ofcollaborative enforcement of privacy policies on shared data by using game theory. Inparticular; we propose a solution that offers automated ways to share images based on anextended notion of content ownership. Building upon the Clarke-Tax mechanism; wedescribe a simple mechanism that promotes truthfulness; and that rewards users who …,Proceedings of the 18th international conference on World wide web,2009,187
Privacy preserving multi-factor authentication with biometrics,Abhilasha Bhargav-Spantzel; Anna C Squicciarini; Shimon Modi; Matthew Young; Elisa Bertino; Stephen J Elliott,Abstract An emerging approach to the problem of identity theft is represented by theadoption of biometric authentication systems. Such systems however present severalchallenges; related to privacy; reliability and security of the biometric data. Inter-operability isalso required among the devices used for authentication. Moreover; very often biometricauthentication in itself is not sufficient as a conclusive proof of identity and has to becomplemented with multiple other proofs of identity such as passwords; SSN; or other useridentifiers. Multi-factor authentication mechanisms are thus required to enforce strongauthentication based on the biometric and identifiers of other nature.,Journal of Computer Security,2007,143
Security for Web services and service-oriented architectures,Elisa Bertino; Lorenzo Martino; Federica Paci; Anna Squicciarini,Web services technologies are advancing fast and being extensively deployed in many di?erent application environments. Web services based on the eXt-sible Markup Language(XML); the Simple Object Access Protocol (SOAP); andrelatedstandards;anddeployedinService-OrientedArchitectures (SOAs) are the key to Web-basedinteroperability for applications within and across organizations. Furthermore; they aremaking it possible to deploy appli-tions that can be directly used by people; and thus makingthe Web a rich and powerful social interaction medium. The term Web 2.0 has been coinedto embrace all those new collaborative applications and to indicate a new;“social” approachto generating and distributing Web content; characterized by open communication;decentralization of authority; and freedom to share and reuse. For Web services …,*,2009,139
Trust negotiations: concepts; systems; and languages,Elisa Bertino; Elena Ferrari; Anna Squicciarini,Trust negotiation is a promising approach for establishing trust in open systems like theInternet; where sensitive interactions may often occur among entities with no priorknowledge of each other. In this article; the authors present a model for trust negotiationsystems; and delineate the desiderata that ideal trust negotiation systems should satisfy. Indefining trust negotiation requirements; they consider two different issues; policy languagerequirements and system requirements. They then survey the most interesting proposals thathave been presented so far and evaluate them with respect to the identified requirements.Finally; they outline future research directions and identify the open issues that still have tobe explored.,Computing in science & engineering,2004,117
A brokerage-based approach for cloud service selection,Smitha Sundareswaran; Anna Squicciarini; Dan Lin,The expanding Cloud computing services offer great opportunities for consumers to find thebest service and best pricing; which however raises new challenges on how to select thebest service out of the huge pool. It is time-consuming for consumers to collect the necessaryinformation and analyze all service providers to make the decision. This is also a highlydemanding task from a computational perspective; because the same computations may beconducted repeatedly by multiple consumers who have similar requirements. Therefore; inthis paper; we propose a novel brokerage-based architecture in the Cloud; where the Cloudbrokers is responsible for the service selection. In particular; we design a unique indexingtechnique for managing the information of a large number of Cloud service providers. Wethen develop efficient service selection algorithms that rank potential service providers …,Cloud Computing (CLOUD); 2012 IEEE 5th International Conference on,2012,111
Establishing and protecting digital identity in federation systems,Abhilasha Bhargav-Spantzel; Anna C Squicciarini; Elisa Bertino,Abstract We develop solutions for the security and privacy of user identity information in afederation. By federation we mean a group of organizations or service providers which havebuilt trust among each other and enable sharing of user identity information amongstthemselves. Our solution supports a step by step approach according to which an individualcan first establish a digital identity followed by a secure and protected use of such identity.We first introduce a flexible approach to establish a single sign-on (SSO) ID in a federation.Then we show how a user can leverage this SSO ID to establish certified and uncertifieduser identity attributes without the dependence on PKI for user authentication. This makesthe process more usable and enhances privacy. The major contribution of this paper is anovel solution for protection against identity theft of these identity attributes. Our approach …,Journal of Computer Security,2006,102
Privacy policies for shared content in social network sites,Anna C Squicciarini; Mohamed Shehab; Joshua Wede,Abstract Social networking is one of the major technological phenomena of the Web 2.0;with hundreds of millions of subscribed users. Social networks enable a form of self-expression for users and help them to socialize and share content with other users. In spiteof the fact that content sharing represents one of the prominent features of existing Socialnetwork sites; they do not provide any mechanisms for collective management of privacysettings for shared content. In this paper; using game theory; we model the problem ofcollective enforcement of privacy policies on shared data. In particular; we propose asolution that offers automated ways to share images based on an extended notion of contentownership. Building upon the Clarke-Tax mechanism; we describe a simple mechanism thatpromotes truthfulness and that rewards users who promote co-ownership. Our approach …,The VLDB Journal,2010,90
Preventing information leakage from indexing in the cloud,Anna Squicciarini; Smitha Sundareswaran; Dan Lin,Cloud computing enables highly scalable services to be easily consumed over the Interneton an as-needed basis. While cloud computing is expanding rapidly and used by manyindividuals and organizations internationally; data protection issues in the cloud have notbeen carefully addressed at current stage. Users' fear of confidential data (particularlyfinancial and health data) leakage and loss of privacy in the cloud may become a significantbarrier to the wide adoption of cloud services. In this paper; we explore a newly emergingproblem of information leakage caused by indexing in the cloud. We design a three-tier dataprotection architecture to accommodate various levels of privacy concerns by users.According to the architecture; we develop a novel portable data binding technique to ensurestrong enforcement of users' privacy requirements at server side.,Cloud Computing (CLOUD); 2010 IEEE 3rd International Conference on,2010,88
