Indexing the Positions of Continuously Moving Objects.,Simonas Saltenis; Christian S. Jensen; Scott T. Leutenegger; Mario A. López,*,SIGMOD Conference,2000,1252
A foundation for representing and querying moving objects,Ralf Hartmut Güting; Michael H Böhlen; Martin Erwig; Christian S Jensen; Nikos A Lorentzos; Markus Schneider; Michalis Vazirgiannis,Abstract Spatio-temporal databases deal with geometries changing over time. The goal ofour work is to provide a DBMS data model and query language capable of handling suchtime-dependent geometries; including those changing continuously that describe movingobjects. Two fundamental abstractions are moving point and moving region; describingobjects for which only the time-dependent position; or position and extent; respectively; areof interest. We propose to present such time-dependent geometries as attribute data typeswith suitable operations; that is; to provide an abstract data type extension to a DBMS datamodel and query language. This paper presents a design of such a system of abstract datatypes. It turns out that besides the main types of interest; moving point and moving region; arelatively large number of auxiliary data types are needed. For example; one needs a line …,ACM Transactions on Database Systems (TODS),2000,955
Novel approaches to the indexing of moving object trajectories.,Dieter Pfoser; Christian S Jensen; Yannis Theodoridis,Abstract The domain of spatiotemporal applications is a treasure trove of new types of dataand queries. However; work in this area is guided by related research from the spatial andtemporal domains; so far; with little attention towards the true nature of spatiotemporalphenomena. In this work; the focus is on a spatiotemporal sub-domain; namely thetrajectories of moving point objects. We present new types of spatiotemporal queries; as wellas algorithms to process those. Further; we introduce two access methods this kind of data;namely the Spatio-Temporal R-tree (STR-tree) and the Trajectory-Bundle tree (TB-tree). Theformer is an R-tree based access method that considers the trajectory identity in the index aswell; while the latter is a hybrid structure; which preserves trajectories as well as allows for R-tree typical range search in the data. We present performance studies that compare the …,VLDB,2000,941
The TSQL2 Temporal Query Language,Ilsoo Ahn; Gad Ariav; Don Batory; James Clifford; Curtis E Dyreson; Ramez Elmasri; Fabio Grandi; Christian S Jensen; Wolfgang Kaefer; Nick Kline; Krishna Kulkarni; TY Leung; Nikos Lorentzos; John F Roddick; Arie Segev; Michael D Soo; Suryanarayana M Sripada; RT Snodgrass,*,*,1995,866
Capturing the uncertainty of moving-object representations,Dieter Pfoser; Christian S Jensen,Abstract Spatiotemporal applications; such as fleet management and air traffic control;involving continuously moving objects are increasingly at the focus of research efforts. Therepresentation of the continuously changing positions of the objects is fundamentallyimportant in these applications. This paper reports on on-going research in therepresentation of the positions of moving-point objects. More speciffically; object positionsare sampled using the Global Positioning System; and interpolation is applied to determinepositions in-between the samples. Special attention is given in the representation to thequantification of the position uncertainty introduced by the sampling technique and theinterpolation. In addition; the paper considers the use for query processing of the proposedrepresentation in conjunction with indexing. It is demonstrated how queries involving …,International Symposium on Spatial Databases,1999,635
Efficient retrieval of the top-k most relevant spatial web objects,Gao Cong; Christian S Jensen; Dingming Wu,Abstract The conventional Internet is acquiring a geo-spatial dimension. Web documents arebeing geo-tagged; and geo-referenced objects such as points of interest are beingassociated with descriptive text documents. The resulting fusion of geo-location anddocuments enables a new kind of top-k query that takes into account both location proximityand text relevancy. To our knowledge; only naive techniques exist that are capable ofcomputing a general web information retrieval query while also taking location into account.This paper proposes a new indexing framework for location-aware top-k text retrieval. Theframework leverages the inverted file for text retrieval and the R-tree for spatial proximityquerying. Several indexing approaches are explored within the framework. The frameworkencompasses algorithms that utilize the proposed indexes for computing the top-k query …,Proceedings of the VLDB Endowment,2009,502
The consensus glossary of temporal database concepts—February 1998 version,Christian S Jensen; Curtis E Dyreson; Michael Böhlen; James Clifford; Ramez Elmasri; Shashi K Gadia; Fabio Grandi; Pat Hayes; Sushil Jajodia; Wolfgang Käfer; Nick Kline; Nikos Lorentzos; Yannis Mitsopoulos; Angelo Montanari; Daniel Nonen; Elisa Peressi; Barbara Pernici; John F Roddick; Nandlal L Sarda; Maria Rita Scalas; Arie Segev; Richard T Snodgrass; Mike D Soo; Abdullah Tansel; Paolo Tiberio; Gio Wiederhold,Abstract This document 1 contains definitions of a wide range of concepts specific to andwidely used within temporal databases. In addition to providing definitions; the documentalso includes explanations of concepts as well as discussions of the adopted names. Theconsensus effort that lead to this glossary was initiated in Early 1992. Earlier versionsappeared in SIGMOD Record in September 1992 and March 1994. The present glossarysubsumes all the previous documents. The glossary meets the need for creating a higherdegree of consensus on the definition and naming of temporal database concepts. Two setsof criteria are included. First; all included concepts were required to satisfy four relevancecriteria; and; second; the naming of the concepts was resolved using a set of evaluationcriteria. The concepts are grouped into three categories: concepts of general database …,*,1998,494
A consensus glossary of temporal database concepts,Christian S. jensen; Curtis Dyreson; Fabio Grandi; Wolfgang Käfer; Nick Kline; Nikos Lorentzos; Yannis Mitsopoulos; Angelo Montanari; Daniel Nonen; Elisa Peressi; Barbara Pernici; John F. Roddick; Nandlal L. Sarda; Maria Rita Scalas; Arie Segev; Richard Thomas Snodgrass; Mike D. Soo; Abdullah Tansel; Paolo Tiberio; Gio Wiederhold,*,ACM SIGMOD Record,1994,489
Query and update efficient B+-tree based indexing of moving objects,Christian S Jensen; Dan Lin; Beng Chin Ooi,Abstract A number of emerging applications of data management technology involve themonitoring and querying of large quantities of continuous variables; eg; the positions ofmobile service users; termed moving objects. In such applications; large quantities of statesamples obtained via sensors are streamed to a database. Indexes for moving objects mustsupport queries efficiently; but must also support frequent updates. Indexes based onminimum bounding regions (MBRs) such as the R-tree exhibit high concurrency overheadsduring node splitting; and each individual update is known to be quite costly. This motivatesthe design of a solution that enables the B+-tree to manage moving objects. We representmoving-object locations as vectors that are timestamped based on their update time. Byapplying a novel linearization technique to these values; it is possible to index the …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,404
Discovery of convoys in trajectory databases,Hoyoung Jeung; Man Lung Yiu; Xiaofang Zhou; Christian S Jensen; Heng Tao Shen,Abstract As mobile devices with positioning capabilities continue to proliferate; datamanagement for so-called trajectory databases that capture the historical movements ofpopulations of moving objects becomes important. This paper considers the querying ofsuch databases for convoys; a convoy being a group of objects that have traveled togetherfor some time. More specifically; this paper formalizes the concept of a convoy query usingdensity-based notions; in order to capture groups of arbitrary extents and shapes. Convoydiscovery is relevant for real-life applications in throughput planning of trucks and carpoolingof vehicles. Although there has been extensive research on trajectories in the literature;none of this can be applied to retrieve correctly exact convoy result sets. Motivated by this;we develop three efficient algorithms for convoy discovery that adopt the well-known filter …,Proceedings of the VLDB Endowment,2008,382
Spacetwist: Managing the trade-offs among location privacy; query performance; and query accuracy in mobile services,Man Lung Yiu; Christian S Jensen; Xuegang Huang; Hua Lu,In a mobile service scenario; users query a server for nearby points of interest but they maynot want to disclose their locations to the service. Intuitively; location privacy may beobtained at the cost of query performance and query accuracy. The challenge addressed ishow to obtain the best possible performance; subjected to given requirements for locationprivacy and query accuracy. Existing privacy solutions that use spatial cloaking employcomplex server query processing techniques and entail the transmission of large quantitiesof intermediate result. Solutions that use transformation-based matching generally fall shortin offering practical query accuracy guarantees. Our proposed framework; calledSpaceTwist; rectifies these shortcomings for k nearest neighbor (kNN) queries. Starting witha location different from the user's actual location; nearest neighbors are retrieved …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,380
Temporal data management,Christian S Jensen; Richard T Snodgrass,A wide range of database applications manage time-varying information. Existing databasetechnology currently provides little support for managing such data. The research area oftemporal databases has made important contributions in characterizing the semantics ofsuch information and in providing expressive and efficient means to model; store; and querytemporal data. This paper introduces the reader to temporal data management; surveysstale-of-the-art solutions to challenging aspects of temporal data management; and points toresearch directions.,IEEE Transactions on Knowledge and Data Engineering,1999,353
A foundation for capturing and querying complex multidimensional data,Torben Bach Pedersen; Christian S Jensen; Curtis E Dyreson,Abstract On-line analytical processing (OLAP) systems considerably improve data analysisand are finding wide-spread use. OLAP systems typically employ multidimensional datamodels to structure their data. This paper identifies 11 modeling requirements formultidimensional data models. These requirements are derived from an assessment ofcomplex data found in real-world applications. A survey of 14 multidimensional data modelsreveals shortcomings in meeting some of the requirements. Existing models do not supportmany-to-many relationships between facts and dimensions; lack built-in mechanisms forhandling change and time; lack support for imprecision; and are generally unable to insertdata with varying granularities. This paper defines an extended multidimensional datamodel and algebraic query language that address all 11 requirements. The model reuses …,Information Systems,2001,340
Multidimensional data modeling for complex data,Torben Bach Pedersen; Christian S Jensen,Online Analytical Processing (OLAP) systems considerably ease the process of analyzingbusiness data and have become widely used in industry. Such systems primarily employmultidimensional data models to structure their data. However current multidimensional datamodels fall short in their abilities to model the complex data found in some real worldapplication domains. The paper presents nine requirements to multidimensional datamodels; each of which is exemplified by a real world; clinical case study. A survey of theexisting models reveals that the requirements not currently met include support for many-to-many relationships between facts and dimensions; built-in support for handling chance andtime; and support for uncertainty as well as different levels of granularity in the data. Thepaper defines an extended multidimensional data model; and an associated algebra …,Data Engineering; 1999. Proceedings.; 15th International Conference on,1999,296
Collective spatial keyword querying,Xin Cao; Gao Cong; Christian S Jensen; Beng Chin Ooi,Abstract With the proliferation of geo-positioning and geo-tagging; spatial web objects thatpossess both a geographical location and a textual description are gaining in prevalence;and spatial keyword queries that exploit both location and textual description are gaining inprominence. However; the queries studied so far generally focus on finding individualobjects that each satisfy a query rather than finding groups of objects where the objects in agroup collectively satisfy a query. We define the problem of retrieving a group of spatial webobjects such that the group's keywords cover the query's keywords and such that objects arenearest to the query location and have the lowest inter-object distances. Specifically; westudy two variants of this problem; both of which are NP-complete. We devise exact solutionsas well as approximate solutions with provable approximation bounds to the problems …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,295
