Resisting structural re-identification in anonymized social networks,Michael Hay; Gerome Miklau; David Jensen; Don Towsley; Philipp Weis,Abstract We identify privacy risks associated with releasing network data sets and providean algorithm that mitigates those risks. A network consists of entities connected by linksrepresenting relations such as friendship; communication; or shared activity. Maintainingprivacy when publishing networked data is uniquely challenging because an individual'snetwork context can be used to identify them even if other identifying information is removed.In this paper; we quantify the privacy risks associated with three classes of attacks on theprivacy of individuals in networks; based on the knowledge used by the adversary. We showthat the risks of these attacks vary greatly based on network structure and size. We proposea novel approach to anonymizing network data that models aggregate network structure andthen allows samples to be drawn from that model. The approach guarantees anonymity …,Proceedings of the VLDB Endowment,2008,518
Anonymizing social networks,Michael Hay; Gerome Miklau; David Jensen; Philipp Weis; Siddharth Srivastava,Abstract Advances in technology have made it possible to collect data about individuals andthe connections between them; such as email correspondence and friendships. Agenciesand researchers who have collected such social network data often have a compellinginterest in allowing others to analyze the data. However; in many cases the data describesrelationships that are private (eg; email correspondence) and sharing the data in full canresult in unacceptable disclosures. In this paper; we present a framework for assessing theprivacy risk of sharing anonymized network data. This includes a model of adversaryknowledge; for which we consider several variants and make connections to known graphtheoretical results. On several real-world social networks; we show that simpleanonymization techniques are inadequate; resulting in substantial breaches of privacy for …,Computer Science Department Faculty Publication Series,2007,377
Boosting the accuracy of differentially private histograms through consistency,Michael Hay; Vibhor Rastogi; Gerome Miklau; Dan Suciu,Abstract We show that it is possible to significantly improve the accuracy of a general classof histogram queries while satisfying differential privacy. Our approach carefully chooses aset of queries to evaluate; and then exploits consistency constraints that should hold overthe noisy output. In a post-processing phase; we compute the consistent input most likely tohave produced the noisy output. The final output is differentially-private and consistent; butin addition; it is often much more accurate. We show; both theoretically and experimentally;that these techniques can be used for estimating the degree sequence of a graph veryprecisely; and for computing a histogram that can support arbitrary range queries accurately.,Proceedings of the VLDB Endowment,2010,348
Learning relational probability trees,Jennifer Neville; David Jensen; Lisa Friedland; Michael Hay,Abstract Classification trees are widely used in the machine learning and data miningcommunities for modeling propositional data. Recent work has extended this basicparadigm to probability estimation trees. Traditional tree learning algorithms assume thatinstances in the training data are homogenous and independently distributed. Relationalprobability trees (RPTs) extend standard probability estimation trees to a relational setting inwhich data instances are heterogeneous and interdependent. Our algorithm for learning thestructure and parameters of an RPT searches over a space of relational features that useaggregation functions (eg A VERAGE; M ODE; C OUNT) to dynamically propositionalizerelational data and create binary splits within the RPT. Previous work has identified anumber of statistical biases due to characteristics of relational data such as …,Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining,2003,259
Optimizing linear counting queries under differential privacy,Chao Li; Michael Hay; Vibhor Rastogi; Gerome Miklau; Andrew McGregor,Abstract Differential privacy is a robust privacy standard that has been successfully appliedto a range of data analysis tasks. But despite much recent work; optimal strategies foranswering a collection of related queries are not known. We propose the matrix mechanism;a new algorithm for answering a workload of predicate counting queries. Given a workload;the mechanism requests answers to a different set of queries; called a query strategy; whichare answered using the standard Laplace mechanism. Noisy answers to the workloadqueries are then derived from the noisy answers to the strategy queries. This two stageprocess can result in a more complex correlated noise distribution that preserves differentialprivacy but increases accuracy.,Proceedings of the twenty-ninth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2010,244
Accurate estimation of the degree distribution of private networks,Michael Hay; Chao Li; Gerome Miklau; David Jensen,We describe an efficient algorithm for releasing a provably private estimate of the degreedistribution of a network. The algorithm satisfies a rigorous property of differential privacy;and is also extremely efficient; running on networks of 100 million nodes in a few seconds.Theoretical analysis shows that the error scales linearly with the number of unique degrees;whereas the error of conventional techniques scales linearly with the number of nodes. Wecomplement the theoretical analysis with a thorough empirical analysis on real and syntheticgraphs; showing that the algorithm's variance and bias is low; that the error diminishes asthe size of the input graph increases; and that common analyses like fitting a power-law canbe carried out very accurately.,Data Mining; 2009. ICDM'09. Ninth IEEE International Conference on,2009,179
An integrated; conditional model of information extraction and coreference with application to citation matching,Ben Wellner; Andrew McCallum; Fuchun Peng; Michael Hay,Abstract Although information extraction and coreference resolution appear together inmany applications; most current systems perform them as independent steps. This paperdescribes an approach to integrated inference for extraction and coreference based onconditionally-trained undirected graphical models. We discuss the advantages of conditionalprobability training; and of a coreference model structure based on graph partitioning. On adata set of research paper citations; we show significant reduction in error by usingextraction uncertainty to improve coreference citation matching accuracy; and usingcoreference to improve the accuracy of the extracted fields.,Proceedings of the 20th conference on Uncertainty in artificial intelligence,2004,164
Relationship privacy: output perturbation for queries with joins,Vibhor Rastogi; Michael Hay; Gerome Miklau; Dan Suciu,Abstract We study privacy-preserving query answering over data containing relationships. Asocial network is a prime example of such data; where the nodes represent individuals andedges represent relationships. Nearly all interesting queries over social networks involvejoins; and for such queries; existing output perturbation algorithms severely distort queryanswers. We propose an algorithm that significantly improves utility over competingtechniques; typically reducing the error bound from polynomial in the number of nodes topolylogarithmic. The algorithm is; to the best of our knowledge; the first to answer suchqueries with acceptable accuracy; even for worst-case inputs. The improved utility isachieved by relaxing the privacy condition. Instead of ensuring strict differential privacy; weguarantee a weaker (but still quite practical) condition based on adversarial privacy. To …,Proceedings of the twenty-eighth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2009,110
iReduct: Differential privacy with reduced relative errors,Xiaokui Xiao; Gabriel Bender; Michael Hay; Johannes Gehrke,Abstract Prior work in differential privacy has produced techniques for answering aggregatequeries over sensitive data in a privacy-preserving way. These techniques achieve privacyby adding noise to the query answers. Their objective is typically to minimize absolute errorswhile satisfying differential privacy. Thus; query answers are injected with noise whose scaleis independent of whether the answers are large or small. The noisy results for querieswhose true answers are small therefore tend to be dominated by noise; which leads toinferior data utility. This paper introduces iReduct; a differentially private algorithm forcomputing answers with reduced relative error. The basic idea of iReduct is to inject differentamounts of noise to different query results; so that smaller (larger) values are more likely tobe injected with less (more) noise. The algorithm is based on a novel resampling …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,105
Resisting structural re-identification in anonymized social networks,Michael Hay; Gerome Miklau; David Jensen; Don Towsley; Chao Li,Abstract We identify privacy risks associated with releasing network datasets and provide analgorithm that mitigates those risks. A network dataset is a graph representing entitiesconnected by edges representing relations such as friendship; communication or sharedactivity. Maintaining privacy when publishing a network dataset is uniquely challengingbecause an individual's network context can be used to identify them even if other identifyinginformation is removed. In this paper; we introduce a parameterized model of structuralknowledge available to the adversary and quantify the success of attacks on individuals inanonymized networks. We show that the risks of these attacks vary based on networkstructure and size and provide theoretical results that explain the anonymity risk in randomnetworks. We then propose a novel approach to anonymizing network data that models …,The VLDB Journal—The International Journal on Very Large Data Bases,2010,80
