A stochastic model of TCP/IP with stationary random losses,Eitan Altman; Konstantin Avrachenkov; Chadi Barakat,Abstract We present a technique for identifying repetitive information transfers and use it toanalyze the redundancy of network traffic. Our insight is that dynamic content; streamingmedia and other traffic that is not caught by today's Web caches is nonetheless likely toderive from similar information. We have therefore adapted similarity detection techniques tothe problem of designing a system to eliminate redundant transfers. We identify repeatedbyte ranges between packets to avoid retransmitting the redundant data.,ACM SIGCOMM Computer Communication Review,2000,342
On TCP performance in a heterogeneous network: a survey,Chadi Barakat; Eitan Altman; Walid Dabbous,Transmission media carrying Internet traffic present a wide range of characteristics; some ofwhich; such as transmission errors; long end-to-end delay; and bandwidth asymmetry; maycause a degradation of the TCP performance. Many works have studied the performance ofTCP over these media; most of which focus on a particular network type. In this work westudy TCP performance independent of the type of network by considering the differentpossible characteristics of the connection path. We present the problems and the differentproposed solutions. This study permits us to understand the limitations of the actualsolutions and the required modifications to let TCP cope with a heterogeneous Internet onan end-to-end basis.,Communications Magazine; IEEE,2000,300
Optimal buffer management policies for delay tolerant networks,Amir Krifa; Chadi Barakat; Thrasyvoulos Spyropoulos,Delay Tolerant Networks are wireless networks where disconnections may occur frequentlydue to propagation phenomena; node mobility; and power outages. Propagation delays mayalso be long due to the operational environment (eg deep space; underwater). In order toachieve data delivery in such challenging networking environments; researchers haveproposed the use of store-carry-and-forward protocols: there; a node may store a messagein its buffer and carry it along for long periods of time; until an appropriate forwardingopportunity arises. Additionally; multiple message replicas are often propagated to increasedelivery probability. This combination of long-term storage and replication imposes a highstorage overhead on untethered nodes (eg handhelds). Thus; efficient buffer managementpolicies are necessary to decide which messages should be discarded; when node …,Sensor; Mesh and Ad Hoc Communications and Networks; 2008. SECON'08. 5th Annual IEEE Communications Society Conference on,2008,291
Network characteristics of video streaming traffic,Ashwin Rao; Arnaud Legout; Yeon-sup Lim; Don Towsley; Chadi Barakat; Walid Dabbous,Abstract Video streaming represents a large fraction of Internet traffic. Surprisingly; little isknown about the network characteristics of this traffic. In this paper; we study the networkcharacteristics of the two most popular video streaming services; Netflix and YouTube. Weshow that the streaming strategies vary with the type of the application (Web browser ornative mobile application); and the type of container (Silverlight; Flash; or HTML5) used forvideo streaming. In particular; we identify three different streaming strategies that producetraffic patterns from non-ack clocked ON-OFF cycles to bulk TCP transfer. We then presentan analytical model to study the potential impact of these streaming strategies on theaggregate traffic and make recommendations accordingly.,Proceedings of the Seventh COnference on emerging Networking EXperiments and Technologies,2011,272
Performance analysis under finite load and improvements for multirate 802.11,Gion Reto Cantieni; Qiang Ni; Chadi Barakat; Thierry Turletti,Abstract Automatic rate adaptation in Carrier Sense Multiple Access with CollisionAvoidance (CSMA/CA) wireless networks may cause drastic throughput degradation for high-speed bit rate stations (STAs). The CSMA/CA medium access method guarantees equallong-term channel access probability to all hosts when they are saturated. In previous work ithas been shown that the saturation throughput of any STA is limited by the saturationthroughput of the STA with the lowest bit rate in the same infrastructure. In order to overcomethis problem; we first introduce in this article a new model for finite load sources withmultirate capabilities. We use our model to investigate the throughput degradation outsideand inside the saturation regime. We define a new fairness index based on the channeloccupation time to have more suitable definition of fairness in multirate environments …,Computer Communications,2005,216
Modeling and analysis of slow CW decrease IEEE 802.11 WLAN,Qiang Ni; Imad Aad; Chadi Barakat; Thierry Turletti,The IEEE 802.11 medium access control (MAC) protocol provides a contention-baseddistributed channel access mechanism for mobile stations to share the wireless medium;which may introduce a lot of collisions in case of overloaded active stations. Slow contentionwindow (CW) decrease scheme is a simple and efficient solution for this problem. In thispaper; we use an analytical model to compare the slow CW decrease scheme to the IEEE802.11 MAC protocol. Several parameters are investigated such as the number of stations;the initial CW size; the decrease factor value; the maximum backoff stage and thecoexistence with the RequestToSend and ClearToSend (RTS/CTS) mechanism. The resultsshow that the slow CW decrease scheme can efficiently improve the throughput of IEEE802.11; and that the throughput gain is higher when the decrease factor is larger …,Personal; Indoor and Mobile Radio Communications; 2003. PIMRC 2003. 14th IEEE Proceedings on,2003,172
Modeling Internet backbone traffic at the flow level,Chadi Barakat; Patrick Thiran; Gianluca Iannaccone; Christophe Diot; Philippe Owezarski,Our goal is to design a traffic model for noncongested Internet backbone links; which issimple enough to be used in network operation; while being as general as possible. Theproposed solution is to model the traffic at the flow level by a Poisson shot-noise process. Inour model; a flow is a generic notion that must be able to capture the characteristics of anykind of data stream. We analyze the accuracy of the model with real traffic traces collectedon the Sprint Internet protocol (IP) backbone network. Despite its simplicity; our modelprovides a good approximation of the real traffic observed in the backbone and of itsvariation. Finally; we discuss the application of our model to network design anddimensioning.,IEEE Transactions on Signal processing,2003,157
Adaptive fair channel allocation for QoS enhancement in IEEE 802.11 wireless LANs,Mohammad Malli; Qiang Ni; Thierry Turletti; Chadi Barakat,The emerging widespread use of real-time multimedia applications over wireless networksmakes the support of quality of service (QoS) a key problem. In this paper; we focus on QoSsupport mechanisms for IEEE 802.11 wireless ad-hoc networks. First; we review limitationsof the upcoming IEEE 802.11 e enhanced DCF (EDCF) and other enhanced MAC schemesthat have been proposed to support QoS for 802.11 ad-hoc networks. Then; we describe anew scheme called adaptive fair EDCF that extends EDCF; by increasing the contentionwindow during deferring periods when the channel is busy; and by using an adaptive fastbackoff mechanism when the channel is idle. Our scheme computes an adaptive backoffthreshold for each priority level by taking into account the channel load. The new schemesignificantly improves the quality of multimedia applications. Moreover; it increases the …,Communications; 2004 IEEE International Conference on,2004,143
Bandwidth tradeoff between TCP and link-level FEC,Chadi Barakat; Eitan Altman,Abstract Forward error correction (FEC) is widely used for the improvement of the quality ofnoisy transmission media as wireless links. This improvement is of importance for a transportprotocol as TCP which uses the loss of packets as an indication of network congestion. FECshields TCP from losses not caused by congestion and helps it to improve its throughput buton the other hand it consumes a part of the available bandwidth that could be used by TCP.In this paper we study in detail this bandwidth tradeoff between TCP and FEC. By analysisand simulations we show how TCP performance varies as a function of the amount of FEC.,Computer Networks,2002,142
A flow-based model for Internet backbone traffic,Chadi Barakat; Patrick Thiran; Gianluca Iannaccone; Christophe Diot; Philippe Owezarski,Abstract Our goal is to design a traffic model for uncongested IP backbone links that issimple enough to be used in network operation; and that is protocol and application agnosticin order to be as general as possible. The proposed solution is to model the traffic at the flowlevel by a Poisson shot-noise process. In our model; a flow is a generic notion that must beable to capture the characteristics of any kind of data stream. We analyze the accuracy of themodel with real traffic traces collected on the Sprint IP backbone network. Despite itssimplicity; our model provides a good approximation of the real traffic observed in thebackbone and of its variation. Finally; we discuss three applications of our model to networkdesign and management.,Proceedings of the 2nd ACM SIGCOMM Workshop on Internet measurment,2002,140
