Lowering the overhead of nonblocking software transactional memory,Virendra J Marathe; Michael F Spear; Christopher Heriot; Athul Acharya; David Eisenstat; William N Scherer III; Michael L Scott,Abstract Recent years have seen the development of several different systems for softwaretransactional memory (STM). Most either employ locks in the underlying implementation ordepend on thread-safe general-purpose garbage collection to collect stale data andmetadata. We consider the design of low-overhead; obstruction-free software transactionalmemory for non-garbage-collected languages. Our design eliminates dynamic allocation oftransactional metadata and co-locates data that are separate in other systems; therebyreducing the expected number of cache misses on the common-case code path; whilepreserving nonblocking progress and requiring no atomic instructions other than single-word load; store; and compare-and-swap (or load-linked/store-conditional). We also employa simple; epoch-based storage management system and introduce a novel conservative …,Workshop on Languages; Compilers; and Hardware Support for Transactional Computing (TRANSACT),2006,315
NOrec: streamlining STM by abolishing ownership records,Luke Dalessandro; Michael F Spear; Michael L Scott,Abstract Drawing inspiration from several previous projects; we present an ownership-record-free software transactional memory (STM) system that combines extremely lowoverhead with unusually clean semantics. While unlikely to scale to hundreds of activethreads; this" NOrec" system offers many appealing features: very low fast-path latency--aslow as any system we know of that admits concurrent updates; publication and privatizationsafety; livelock freedom; a small; constant amount of global metadata; and full compatibilitywith existing data structure layouts; no false conflicts due to hash collisions; compatibilitywith both managed and unmanaged languages; and both static and dynamic compilation;and easy acccommodation of closed nesting; inevitable (irrevocable) transactions; andstarvation avoidance mechanisms. To the best of our knowledge; no extant STM system …,ACM Sigplan Notices,2010,289
Privatization techniques for software transactional memory,Michael F Spear; Virendra J Marathe; Luke Dalessandro; Michael L Scott,Transactional memory (TM) allows the programmer to encapsulate arbitrary memoryoperations into a single transaction that appears to be atomic and isolated from othertransactions. In addition; TM systems must generally address the possibility that shared datamay be accessed outside a transaction. The strong isolation model [1; 3] guarantees thattransactions are isolated from nontransactional (“naked”) loads and stores; as well as othertransactions. Due to the perceived high overheads for achieving strong isolation in softwareTM systems (STMs); the so-called weak isolation model; which guarantees isolation onlyamong transactions; is also considered by some as an acceptable alternative. Under weakisolation; a simple programming model is single lock atomicity:“a program executes as if alltransactions were protected by a single; program-wide mutual exclusion lock”[3; pp. 20] …,Proceedings of the twenty-sixth annual ACM symposium on Principles of distributed computing,2007,168
Conflict detection and validation strategies for software transactional memory,Michael F Spear; Virendra J Marathe; William N Scherer; Michael L Scott,Abstract In a software transactional memory (STM) system; conflict detection is the problemof determining when two transactions cannot both safely commit. Validation is the relatedproblem of ensuring that a transaction never views inconsistent data; which might potentiallycause a doomed transaction to exhibit irreversible; externally visible side effects. Existingmechanisms for conflict detection vary greatly in their degree of speculation and theirrelative treatment of read-write and write-write conflicts. Validation; for its part; appears to bea dominant factor—perhaps the dominant factor—in the cost of complex transactions. Wepresent the most comprehensive study to date of conflict detection strategies; characterizingthe tradeoffs among them and identifying the ones that perform the best for various types ofworkload. In the process we introduce a lightweight heuristic mechanism—the global …,International Symposium on Distributed Computing,2006,154
A comprehensive strategy for contention management in software transactional memory,Michael F Spear; Luke Dalessandro; Virendra J Marathe; Michael L Scott,Abstract In Software Transactional Memory (STM); contention management refers to themechanisms used to ensure forward progress--to avoid livelock and starvation; and topromote throughput and fairness. Unfortunately; most past approaches to contentionmanagement were designed for obstruction-free STM frameworks; and impose significantconstant-time overheads. Priority-based approaches in particular typically require that readsbe visible to all transactions; an expensive property that is not easy to support in most STMsystems. In this paper we present a comprehensive strategy for contention management viafair resolution of conflicts in an STM with invisible reads. Our strategy depends on (1) lazyacquisition of ownership;(2) extendable timestamps; and (3) an efficient way to capture bothpriority and conflicts. We introduce two mechanisms--one using Bloom filters; the other …,ACM Sigplan Notices,2009,153
RingSTM: scalable transactions with a single atomic instruction,Michael F Spear; Maged M Michael; Christoph von Praun,Abstract Existing Software Transactional Memory (STM) designs attach metadata to rangesof shared memory; subsequent runtime instructions read and update this metadata in orderto ensure that an in-flight transaction's reads and writes remain correct. The overhead ofmetadata manipulation and inspection is linear in the number of reads and writes performedby a transaction; and involves expensive read-modify-write instructions; resulting insubstantial overheads. We consider a novel approach to STM; in which transactionsrepresent their read and write sets as Bloom filters; and transactions commit by enqueuing aBloom filter onto a global list. Using this approach; our RingSTM system requires at mostone read-modify-write operation for any transaction; and incurs validation overhead linearnot in transaction size; but in the number of concurrent writers who commit. Furthermore …,Proceedings of the twentieth annual symposium on Parallelism in algorithms and architectures,2008,146
Hybrid norec: A case study in the effectiveness of best effort hardware transactional memory,Luke Dalessandro; Francois Carouge; Sean White; Yossi Lev; Mark Moir; Michael L Scott; Michael F Spear,Abstract Transactional memory (TM) is a promising synchronization mechanism for the nextgeneration of multicore processors. Best-effort Hardware Transactional Memory (HTM)designs; such as Sun's prototype Rock processor and AMD's proposed AdvancedSynchronization Facility (ASF); can efficiently execute many transactions; but abort in somecases due to various limitations. Hybrid TM systems can use a compatible software TM(STM) in such cases. We introduce a family of hybrid TMs built using the recent NOrec STMalgorithm that; unlike existing hybrid approaches; provide both low overhead on hardwaretransactions and concurrent execution of hardware and software transactions. We evaluateimplementations for Rock and ASF; exploring how the differing HTM designs affectoptimization choices. Our investigation yields valuable input for designers of future best …,ACM SIGARCH Computer Architecture News,2011,140
An integrated hardware-software approach to flexible transactional memory,Arrvindh Shriraman; Michael F Spear; Hemayet Hossain; Virendra J Marathe; Sandhya Dwarkadas; Michael L Scott,Abstract There has been considerable recent interest in both hardware andsoftwaretransactional memory (TM). We present an intermediateapproach; in which hardware servesto accelerate a TM implementation controlled fundamentally by software. Specifically; wedescribe an alert on update mechanism (AOU) that allows a thread to receive fast;asynchronous notification when previously-identified lines are written by other threads; anda programmable data isolation mechanism (PDI) that allows a thread to hide its speculativewrites from other threads; ignoring conflicts; until software decides to make them visible.These mechanisms reduce bookkeeping; validation; and copying overheads withoutconstraining software policy on a host of design decisions. We have used AOU and PDI toimplement a hardwareacceleratedsoftware transactional memory system we call RTM …,ACM SIGARCH Computer Architecture News,2007,140
Hardware acceleration of software transactional memory,Arrvindh Shriraman; Virendra J Marathe; Sandhya Dwarkadas; Michael L Scott; David Eisenstat; Christopher Heriot; William N Scherer III; Michael F Spear,Abstract Transactional memory (TM) systems seek to increase scalability; reduceprogramming complexity; and overcome the various semantic problems associated withlocks. Software TM proposals run on stock processors and provide substantial flexibility inpolicy; but incur significant overhead for data versioning and validation in the face ofconflicting transactions. Hardware TM proposals have the advantage of speed; but aretypically highly ambitious; embed significant amounts of policy in silicon; and provide noclear migration path for software that must also run on legacy machines. We advocate anintermediate approach; in which hardware is used to accelerate a TM implementationcontrolled fundamentally by software. We present a system; RTM; that embodies thisapproach. It consists of a novel transactional MESI (TMESI) protocol and accompanying …,ACM SIGPLAN Workshop on Transactional Computing; Ottawa; ON; Canada,2006,75
Scalable techniques for transparent privatization in software transactional memory,Virendra J Marathe; Michael F Spear; Michael L Scott,We address the recently recognized privatization problem in software transactional memory(STM) runtimes; and introduce the notion of partially visible reads (PVRs) to heuristicallyreduce the overhead of transparent privatization. Specifically; PVRs avoid the need for a"privatization fence" in the absence of conflict with concurrent readers. We present severaltechniques to trade off the cost of enforcing partial visibility with the precision of conflictdetection. We also consider certain special-case variants of our approach; eg; forpredominantly read-only workloads. We compare our implementations to prior techniqueson a multicore Niagara1 system using a variety of artificial workloads. Our results suggestthat while no one technique performs best in all cases; a dynamic hybrid of PVRs and strictin-order commits is stable and reasonably fast across a wide range of load parameters. At …,Parallel Processing; 2008. ICPP'08. 37th International Conference on,2008,71
