RDF-3X: a RISC-style engine for RDF,Thomas Neumann; Gerhard Weikum,Abstract RDF is a data representation format for schema-free structured information that isgaining momentum in the context of Semantic-Web corpora; life sciences; and also Web 2.0platforms. The" pay-as-you-go" nature of RDF and the flexible pattern-matching capabilitiesof its query language SPARQL entail efficiency and scalability challenges for complexqueries including long join paths. This paper presents the RDF-3X engine; animplementation of SPARQL that achieves excellent performance by pursuing a RISC-stylearchitecture with a streamlined architecture and carefully designed; puristic data structuresand operations. The salient points of RDF-3X are: 1) a generic solution for storing andindexing RDF triples that completely eliminates the need for physical-design tuning; 2) apowerful yet simple query processor that leverages fast merge joins to the largest …,Proceedings of the VLDB Endowment,2008,532
The RDF-3X engine for scalable management of RDF data,Thomas Neumann; Gerhard Weikum,Abstract RDF is a data model for schema-free structured information that is gainingmomentum in the context of Semantic-Web data; life sciences; and also Web 2.0 platforms.The" pay-as-you-go" nature of RDF and the flexible pattern-matching capabilities of its querylanguage SPARQL entail efficiency and scalability challenges for complex queries includinglong join paths. This paper presents the RDF-3X engine; an implementation of SPARQL thatachieves excellent performance by pursuing a RISC-style architecture with streamlinedindexing and query processing. The physical design is identical for all RDF-3X databasesregardless of their workloads; and completely eliminates the need for index tuning byexhaustive indexes for all permutations of subject-property-object triples and their binaryand unary projections. These indexes are highly compressed; and the query processor …,The VLDB Journal—The International Journal on Very Large Data Bases,2010,460
HyPer: A hybrid OLTP&OLAP main memory database system based on virtual memory snapshots,Alfons Kemper; Thomas Neumann,The two areas of online transaction processing (OLTP) and online analytical processing(OLAP) present different challenges for database architectures. Currently; customers withhigh rates of mission-critical transactions have split their data into two separate systems; onedatabase for OLTP and one so-called data warehouse for OLAP. While allowing for decenttransaction rates; this separation has many disadvantages including data freshness issuesdue to the delay caused by only periodically initiating the Extract Transform Load-datastaging and excessive resource consumption due to maintaining two separate informationsystems. We present an efficient hybrid system; called HyPer; that can handle both OLTPand OLAP simultaneously by using hardware-assisted replication mechanisms to maintainconsistent snapshots of the transactional data. HyPer is a main-memory database system …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,388
Efficiently compiling efficient query plans for modern hardware,Thomas Neumann,Abstract As main memory grows; query performance is more and more determined by theraw CPU costs of query processing itself. The classical iterator style query processingtechnique is very simple and exible; but shows poor performance on modern CPUs due tolack of locality and frequent instruction mispredictions. Several techniques like batchoriented processing or vectorized tuple processing have been proposed in the past toimprove this situation; but even these techniques are frequently out-performed by hand-written execution plans. In this work we present a novel compilation strategy that translates aquery into compact and efficient machine code using the LLVM compiler framework. Byaiming at good code and data locality and predictable branch layout the resulting codefrequently rivals the performance of hand-written C++ code. We integrated these …,Proceedings of the VLDB Endowment,2011,262
Scalable join processing on very large RDF graphs,Thomas Neumann; Gerhard Weikum,Abstract With the proliferation of the RDF data format; engines for RDF query processing arefaced with very large graphs that contain hundreds of millions of RDF triples. This paperaddresses the resulting scalability problems. Recent prior work along these lines hasfocused on indexing and other physical-design issues. The current paper focuses on joinprocessing; as the fine-grained and schema-relaxed use of RDF often entails star-and chain-shaped join queries with many input streams from index scans. We present two contributionsfor scalable join processing. First; we develop very light-weight methods for sidewaysinformation passing between separate joins at query run-time; to provide highly effectivefilters on the input streams of joins. Second; we improve previously proposed algorithms forjoin-order optimization by more accurate selectivity estimations for very large RDF graphs …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,240
Efficient top-k querying over social-tagging networks,Ralf Schenkel; Tom Crecelius; Mouna Kacimi; Sebastian Michel; Thomas Neumann; Josiane X Parreira; Gerhard Weikum,Abstract Online communities have become popular for publishing and searching content; aswell as for finding and connecting to other users. User-generated content includes; forexample; personal blogs; bookmarks; and digital photos. These items can be annotated andrated by different users; and these social tags and derived user-specific scores can beleveraged for searching relevant content and discovering subjectively interesting items.Moreover; the relationships among users can also be taken into consideration for rankingsearch results; the intuition being that you trust the recommendations of your close friendsmore than those of your casual acquaintances. Queries for tag or keyword combinations thatcompute and rank the top-k results thus face a large variety of options that complicate thequery processing and pose efficiency challenges. This paper addresses these issues by …,Proceedings of the 31st annual international ACM SIGIR conference on Research and development in information retrieval,2008,180
Massively parallel sort-merge joins in main memory multi-core database systems,Martina-Cezara Albutiu; Alfons Kemper; Thomas Neumann,Abstract Two emerging hardware trends will dominate the database system technology inthe near future: increasing main memory capacities of several TB per server and massivelyparallel multi-core processing. Many algorithmic and control techniques in current databasetechnology were devised for disk-based systems where I/O dominated the performance. Inthis work we take a new look at the well-known sort-merge join which; so far; has not been inthe focus of research in scalable massively parallel multi-core data processing as it wasdeemed inferior to hash joins. We devise a suite of new massively parallel sort-merge(MPSM) join algorithms that are based on partial partition-based sorting. Contrary toclassical sort-merge joins; our MPSM algorithms do not rely on a hard to parallelize finalmerge step to create one complete sort order. Rather they work on the independently …,Proceedings of the VLDB Endowment,2012,165
Characteristic sets: Accurate cardinality estimation for RDF queries with multiple joins,Thomas Neumann; Guido Moerkotte,Accurate cardinality estimates are essential for a successful query optimization. This is notonly true for relational DBMSs but also for RDF stores. An RDF database consists of a set oftriples and; hence; can be seen as a relational database with a single table with threeattributes. This makes RDF rather special in that queries typically contain many self joins.We show that relational DBMSs are not well-prepared to perform cardinality estimation inthis context. Further; there are hardly any special cardinality estimation methods for RDFdatabases. To overcome this lack of appropriate cardinality estimation methods; weintroduce characteristic sets together with new cardinality estimation methods based uponthem. We then show experimentally that the new methods are-in the RDF context-highlysuperior to the estimation methods employed by commercial DBMSs and by the open …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,130
The adaptive radix tree: ARTful indexing for main-memory databases,Viktor Leis; Alfons Kemper; Thomas Neumann,Main memory capacities have grown up to a point where most databases fit into RAM. Formain-memory database systems; index structure performance is a critical bottleneck.Traditional in-memory data structures like balanced binary search trees are not efficient onmodern hardware; because they do not optimally utilize on-CPU caches. Hash tables; alsooften used for main-memory indexes; are fast but only support point queries. To overcomethese shortcomings; we present ART; an adaptive radix tree (trie) for efficient indexing inmain memory. Its lookup performance surpasses highly tuned; read-only search trees; whilesupporting very efficient insertions and deletions as well. At the same time; ART is veryspace efficient and solves the problem of excessive worst-case space consumption; whichplagues most radix trees; by adaptively choosing compact and efficient data structures for …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,120
Characterization of a novel 21-kb deletion; CFTRdele2; 3 (21 kb); in the CFTR gene: a cystic fibrosis mutation of Slavic origin common in Central and East Europe,Thilo Dörk; Milan Macek Jr; Frauke Mekus; Burkhard Tümmler; John Tzountzouris; Teresa Casals; Alice Krebsová; Monika Koudová; Iva Sakmaryová; Milan Macek Sr; Vecaron Vávrová; Dana Zemková; Evgeny Ginter; Nica V Petrova; Tatiana Ivaschenko; Vladislav Baranov; Michal Witt; Andrzej Pogorzelski; Jerzy Bal; Cesary Zékanowsky; K Wagner; M Stuhrmann; I Bauer; HH Seydewitz; T Neumann; S Jakubiczka; C Kraus; B Thamm; M Nechiporenko; L Livshits; N Mosse; G Tsukerman; L Kadási; M Ravnik-Glavač; D Glavač; R Komel; K Vouk; V Kučinskas; A Krumina; M Teder; S Kocheva; GD Efremov; T Onay; B Kirdar; G Malone; M Schwarz; Z Zhou; KJ Friedman; S Carles; M Claustres; D Bozon; C Verlingue; C Férec; M Tzetis; E Kanavakis; H Cuppens; C Bombieri; PF Pignatti; F Sangiuolo; A Jordanova; J Kusic; D Radojkovič; Jadranka Sertić; D Richter; A Stavljenić Rukavina; E Bjorck; B Strandvik; H Cardoso; M Montgomery; B Nakielna; D Hughes; X Estivill; I Aznarez; E Tullis; L-C Tsui; J Zielenski,Abstract. We report a large genomic deletion of the cystic fibrosis transmembraneconductance regulator (CFTR) gene; viz.; a deletion that is frequently observed in Centraland Eastern Europe. The mutation; termed CFTR dele2; 3 (21 kb); deletes 21;080 bpspanning introns 1–3 of the CFTR gene. Transcript analyses have revealed that this deletionresults in the loss of exons 2 and 3 in epithelial CFTR mRNA; thereby producing apremature termination signal within exon 4. In order to develop a simple polymerase chainreaction assay for this allele; we defined the end-points of the deletion at the DNA sequencelevel. We next screened for this mutation in a representative set of European and European-derived populations. Some 197 CF patients; including seven homozygotes; bearing thismutation have been identified during the course of our study. Clinical evaluation of CFTR …,Human genetics,2000,117
