Handbook of discrete and computational geometry,Csaba D Toth; Joseph O'Rourke; Jacob E Goodman,While high-quality books and journals in this field continue to proliferate; none has yet comeclose to matching the Handbook of Discrete and Computational Geometry; which in its firstedition; quickly became the definitive reference work in its field. But with the rapid growth ofthe discipline and the many advances made over the past seven years; it's time to bring thisstandard-setting reference up to date. Editors Jacob E. Goodman and Joseph O'Rourkereassembled their stellar panel of contributors; added manymore; and together thoroughlyrevised their work to make the most important results and methods; both classic and cutting-edge; accessible in one convenient volume. Now over more then 1500 pages; theHandbook of Discrete and Computational Geometry; Second Edition once again providesunparalleled; authoritative coverage of theory; methods; and applications. Highlights of …,*,2004,1070
Davenport-Schinzel sequences and their geometric applications,Micha Sharir; Pankaj K Agarwal,Applications of Davenport-Schinzel sequences arise in areas as diverse as robot motionplanning; computer graphics and vision; and pattern matching. These sequences exhibitsome surprising properties that make them a fascinating subject for research incombinatorial analysis. This book provides a comprehensive study of the combinatorialproperties of Davenport-Schinzel sequences and their numerous geometric applications.These sequences are sophisticated tools for solving problems in computational andcombinatorial geometry. This first book on the subject by two of its leading researchers willbe an important resource for students and professionals in combinatorics; computationalgeometry; and related fields.,*,1995,930
Combinatorial geometry,János Pach; Pankaj K Agarwal,A complete; self-contained introduction to a powerful and resurging mathematical discipline.Combinatorial Geometry presents and explains with complete proofs some of the mostimportant results and methods of this relatively young mathematical discipline; started byMinkowski; Fejes Toth; Rogers; and Erd??? s. Nearly half the results presented in this bookwere discovered over the past twenty years; and most have never before appeared in anymonograph. Combinatorial Geometry will be of particular interest to mathematicians;computer scientists; physicists; and materials scientists interested in computationalgeometry; robotics; scene analysis; and computer-aided design. It is also a superb textbook;complete with end-of-chapter problems and hints to their solutions that help students clarifytheir understanding and test their mastery of the material. Topics covered include …,*,2011,873
Simplification envelopes,Jonathan Cohen; Amitabh Varshney; Dinesh Manocha; Greg Turk; Hans Weber; Pankaj Agarwal; Frederick Brooks; William Wright,Abstract We propose the idea of simplification envelopes for generating a hierarchy of level-of-detail approximations for a given polygonal model. Our approach guarantees that allpoints of an approximation are within a user-specifiable distance from the original modeland that all points of the original model are within a distance from the approximation.Simplification envelopes provide a general framework within which a large collection ofexisting simplification algorithms can run. We demonstrate this technique in conjunction withtwo algorithms; one local; the other global. The local algorithm provides a fast method forgenerating approximations to large input meshes (at least hundreds of thousands oftriangles). The global algorithm provides the opportunity to avoid local “minima” andpossibly achieve better simplifications as a result. Each approximation attempts to …,Proceedings of the 23rd annual conference on Computer graphics and interactive techniques,1996,805
Geometric range searching and its relatives,Pankaj K Agarwal; Jeff Erickson,ABSTRACT. A typical range-searching problem has the following form: Pre-process a set Sof points in R* so that the points of S lying inside a query region can be reported or countedquickly. We survey the known techniques and data structures for range searching anddescribe their application to other related searching problems.,Contemporary Mathematics,1999,534
Indexing moving points,Pankaj K Agarwal; Lars Arge; Jeff Erickson,Abstract We propose three indexing schemes for storing a set S of N points in the plane;each moving along a linear trajectory; so that any query of the following form can beanswered quickly: Given a rectangle R and a real value t; report all K points of S that lieinside R at time t. We first present an indexing structure that; for any given constant ε> 0;uses O (N/B) disk blocks and answers a query in O ((N/B) 1/2+ ε+ K/B) I/Os; where B is theblock size. It can also report all the points of S that lie inside R during a given time interval. Apoint can be inserted or deleted; or the trajectory of a point can be changed; in O (log B 2 N)I/Os. Next; we present a general approach that improves the query time if the queries arrivein chronological order; by allowing the index to evolve over time. We obtain a tradeoffbetween the query time and the number of times the index needs to be updated as the …,Journal of Computer and System Sciences,2003,404
A Monte Carlo algorithm for fast projective clustering,Cecilia M Procopiuc; Michael Jones; Pankaj K Agarwal; TM Murali,Abstract We propose a mathematical formulation for the notion of optimal projective cluster;starting from natural requirements on the density of points in subspaces. This allows us todevelop a Monte Carlo algorithm for iteratively computing projective clusters. We prove thatthe computed clusters are good with high probability. We implemented a modified version ofthe algorithm; using heuristics to speed up computation. Our extensive experiments showthat our method is significantly more accurate than previous approaches. In particular; weuse our techniques to build a classifier for detecting rotated human faces in clutteredimages.,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,399
Exact and approximation algorithms for clustering,Pankaj K Agarwal; Cecilia Magdalena Procopiuc,Abstract In this paper we present an n^ O (k 1-1/d)-time algorithm for solving the k-centerproblem in\reals d; under L∈ fty-and L 2-metrics. The algorithm extends to other metrics;and to the discrete k-center problem. We also describe a simple (1+ ɛ)-approximationalgorithm for the k-center problem; with running time O (n log k)+(k/ɛ)^ O (k 1-1/d). Finally;we present an n^ O (k 1-1/d)-time algorithm for solving the L-capacitated k-center problem;provided that L= Ω (n/k 1-1/d) or L= O (1).,Algorithmica,2002,357
Efficient algorithms for geometric optimization,Pankaj K Agarwal; Micha Sharir,Abstract We review the recent progress in the design of efficient algorithms for variousproblems in geometric optimization. We present several techniques used to attack theseproblems; such as parametric searching; geometric alternatives to parametric searching;prune-and-search techniques for linear programming and related problems; and LP-typeproblems and their efficient solution. We then describe a wide range of applications of theseand other techniques to numerous problems in geometric optimization; including facilitylocation; proximity problems; statistical estimators and metrology; placement andintersection of polygons and polyhedra; and ray shooting and other query-type problems.,ACM Computing Surveys (CSUR),1998,287
Ray shooting and parametric search,Pankaj K Agarwal; Jiří Matoušek,Efficient algorithms for the ray shooting problem are presented: Given a collection Γ ofobjects in R^d; build a data structure so that; for a query ray; the first object of Γ hit by the raycan be quickly determined. Using the parametric search technique; this problem is reducedto the segment emptiness problem. For various ray shooting problems; space/query-timetrade-offs of the following type are achieved: For some integer b and a parameterm(n\leqslantm\leqslantn^b) the queries are answered in time O((n/m^1/b)\log^O(1)n); withO(m^1+ε) space and preprocessing time (ε>0 is arbitrarily small but fixed constant). b=⌊d/2⌋is obtained for ray shooting in a convex d-polytope defined as an intersection of n halfspaces; b=d for an arrangement of n hyperplanes in R^d; and b=3 for an arrangement of nhalf planes in R^3. This approach also yields fast procedures for finding the first k objects …,SIAM Journal on Computing,1993,266
Arrangements and their applications,Pankaj K Agarwal; Micha Sharir,Abstract The arrangement of a finite collection of geometric objects is the decomposition ofthe space into connected cells induced by them. We survey combinatorial and algorithmicproperties of arrangements of arcs in the plane and of surface patches in higher dimensions.We present many applications of arrangements to problems in motion planning;visualization; range searching; molecular modeling; and geometric optimization. Someresults involving planar arrangements of arcs have been presented in Chapter 1 of thisHandbook; and are extended in this chapter to higher dimensions.,*,2000,261
Geometric approximation via coresets,Pankaj K Agarwal; Sariel Har-Peled; Kasturi R Varadarajan,Abstract. The paradigm of coresets has recently emerged as a powerful tool for efficientlyapproximating various extent measures of a point set P. Using this paradigm; one quicklycomputes a small subset Q of P; called a coreset; that approximates the original set P andand then solves the problem on Q using a relatively inefficient algorithm. The solution for Qis then translated to an approximate solution to the original point set P. This paper describesthe ways in which this paradigm has been successfully applied to various optimization andextent measure problems.,Combinatorial and computational geometry,2005,252
Approximating extent measures of points,Pankaj K Agarwal; Sariel Har-Peled; Kasturi R Varadarajan,Abstract We present a general technique for approximating various descriptors of the extentof a set P of n points in R d when the dimension d is an arbitrary fixed constant. For a givenextent measure μ and a parameter &epsiv;> 0; it computes in time O (n+ 1/&epsiv; O (1)) asubset Q⊆ P of size 1/&epsiv; O (1); with the property that (1− &epsiv;) μ (P)≤ μ (Q)≤ μ (P).The specific applications of our technique include &epsiv;-approximation algorithms for (i)computing diameter; width; and smallest bounding box; ball; and cylinder of P;(ii)maintaining all the previous measures for a set of moving points; and (iii) fitting spheres andcylinders through a point set P. Our algorithms are considerably simpler; and faster in manycases; than previously known algorithms.,Journal of the ACM (JACM),2004,236
Applications of parametric searching in geometric optimization,Pankaj K Agarwal; Micha Sharir; Sivan Toledo,Abstract We present several applications in computational geometry of Megiddo′ sparametric searching technique. These applications include:(1) Finding the minimumHausdorff distance in the Euclidean metric between two polygonal regions undertranslation;(2) Computing the biggest line segment that can be placed inside a simplepolygon;(3) Computing the smallest width annulus that contains a given set of given pointsin the plane;(4) Given a set of n points in 3-space; finding the largest radius r such that if weplace a ball of radius r around each point; no segment connecting a pair of points isintersected by a third ball. Besides obtaining efficient solutions to all these problems (which;in every case; either improve considerably previous solutions or are the first nontrivialsolutions to these problems); our goal is to demonstrate the versatility of the parametric …,Journal of Algorithms,1994,223
Human disease-drug network based on genomic expression profiles,Guanghui Hu; Pankaj Agarwal,Background Drug repositioning offers the possibility of faster development times andreduced risks in drug discovery. With the rapid development of high-throughput technologiesand ever-increasing accumulation of whole genome-level datasets; an increasing number ofdiseases and drugs can be comprehensively characterized by the changes they induce ingene expression; protein; metabolites and phenotypes. Methodology/Principal Findings Weperformed a systematic; large-scale analysis of genomic expression profiles of humandiseases and drugs to create a disease-drug network. A network of 170;027 significantinteractions was extracted from the∼ 24.5 million comparisons between∼ 7;000 publiclyavailable transcriptomic profiles. The network includes 645 disease-disease; 5;008 disease-drug; and 164;374 drug-drug relationships. At least 60% of the disease-disease pairs …,PloS one,2009,220
Label placement by maximum independent set in rectangles,Pankaj K Agarwal; Marc J van Kreveld,Abstract Motivated by the problem of labeling maps; we investigate the problem ofcomputing a large non-intersecting subset in a set of n rectangles in the plane. Our resultsare as follows. In O nlog n time; we can nd an O log n-factor approximation of the maximumsubset in a set of n arbitrary axis-parallel rectangles in the plane. If all rectangles have unitheight; we can nd a 2-approximation in O nlog n time. Extending this result; we obtain a 1+ 1k-approximation in time O nlog n+ n2k-1 time; for any integer k 1.,*,1998,220
On range searching with semialgebraic sets,Pankaj K.  Agarwal; Jirí Matousek,Abstract Let P be a set of n points in ℝ d (where d is a small fixed positive integer); and let Γbe a collection of subsets of ℝ d; each of which is defined by a constant number of boundeddegree polynomial inequalities. We consider the following Γ-range searching problem:Given P; build a data structure for efficient answering of queries of the form;“Given a γ∈ Γ;count (or report) the points of P lying in γ.” Generalizing the simplex range searchingtechniques; we give a solution with nearly linear space and preprocessing time and with O(n 1− 1/b+ δ) query time; where d≤ b≤ 2d− 3 and δ> 0 is an arbitrarily small constant. Theacutal value of b is related to the problem of partitioning arrangements of algebraic surfacesinto cells with a constant description complexity. We present some of the applications of Γ-range searching problem; including improved ray shooting among triangles in ℝ 3.,Discrete & Computational Geometry,1994,204
Sharp upper and lower bounds on the length of general Davenport-Schinzel sequences,Pankaj K Agarwal; Micha Sharir; Peter Shor,Abstract We obtain sharp upper and lower bounds on the maximal length λ s (n) of (n; s)-Davenport-Schinzel sequences; ie; sequences composed of n symbols; having no twoadjacent equal elements and containing no alternating subsequence of length s+ 2. Weshow that (i) λ 4 (n)= Θ (n· 2 α (n));(ii) for s> 4; λ s (n)⩽ n· 2 (α (n))(s− 2) 2+ C s (n) if s is evenand λ s (n)⩽ n· 2 (α (n))(s− 3) 2 log (α (n))+ C s (n) if s is odd; where C s (n) is a function of α(n) and s; asymptotically smaller than the main term; and finally (iii) for even values of s> 4; λs (n)= Ω (n· 2 K s (α (n))(s− 2) 2+ Q s (n)); where K s=(((s− 2) 2)!)− 1 and Q s is a polynomialin α (n) of degree at most (s− 4) 2.,Journal of Combinatorial Theory; Series A,1989,203
