Naga: Searching and ranking knowledge,Gjergji Kasneci; Fabian M Suchanek; Georgiana Ifrim; Maya Ramanath; Gerhard Weikum,The Web has the potential to become the world's largest knowledge base. In order tounleash this potential; the wealth of information available on the Web needs to be extractedand organized. There is a need for new querying techniques that are simple and yet moreexpressive than those provided by standard keyword-based search engines. Searching forknowledge rather than Web pages needs to consider inherent semantic structures likeentities (person; organization; etc.) and relationships (isA; locatedIn; etc.). In this paper; wepropose NAGA; a new semantic search engine. NAGA builds on a knowledge base; which isorganized as a graph with typed edges; and consists of millions of entities and relationshipsextracted from Web-based corpora. A graph-based query language enables the formulationof queries with additional semantic information. We introduce a novel scoring model …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,252
StatiX: making XML count,Juliana Freire; Jayant R Haritsa; Maya Ramanath; Prasan Roy; Jérôme Siméon,Abstract The availability of summary data for XML documents has many applications; fromproviding users with quick feedback about their queries; to cost-based storage design andquery optimization. StatiX is a novel XML Schema-aware statistics framework that exploitsthe structure derived by regular expressions (which define elements in an XML Schema) topinpoint places in the schema that are likely sources of structural skew. As we discussbelow; this information can be used to build concise; yet accurate; statistical summaries forXML data. StatiX leverages standard XML technology for gathering statistics; notably XMLSchema validators; and it uses histograms to summarize both the structure and values in anXML document. In this paper we describe the StatiX system. We develop algorithms thatdecompose schemas to obtain statistics at different granularities and discuss how …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,179
Natural language questions for the web of data,Mohamed Yahya; Klaus Berberich; Shady Elbassuoni; Maya Ramanath; Volker Tresp; Gerhard Weikum,Abstract The Linked Data initiative comprises structured databases in the Semantic-Webdata model RDF. Exploring this heterogeneous data by structured query languages istedious and error-prone even for skilled users. To ease the task; this paper presents amethodology for translating natural language questions into structured SPARQL queriesover linked-data sources. Our method is based on an integer linear program to solve severaldisambiguation tasks jointly: the segmentation of questions into phrases; the mapping ofphrases to semantic entities; classes; and relations; and the construction of SPARQL triplepatterns. Our solution harnesses the rich type system provided by knowledge bases in theweb of linked data; to constrain our semantic-coherence objective function. We presentexperiments on both the question translation and the resulting query answering.,Proceedings of the 2012 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning,2012,142
Star: Steiner-tree approximation in relationship graphs,Gjergji Kasneci; Maya Ramanath; Mauro Sozio; Fabian M Suchanek; Gerhard Weikum,Large graphs and networks are abundant in modern information systems: entity-relationshipgraphs over relational data or Web-extracted entities; biological networks; social onlinecommunities; knowledge bases; and many more. Often such data comes with expressivenode and edge labels that allow an interpretation as a semantic graph; and edge weightsthat reflect the strengths of semantic relations between entities. Finding close relationshipsbetween a given set of two; three; or more entities is an important building block for manysearch; ranking; and analysis tasks. From an algorithmic point of view; this translates intocomputing the best Steiner trees between the given nodes; a classical NP-hard problem. Inthis paper; we present a new approximation algorithm; coined STAR; for relationship queriesover large relationship graphs. We prove that for n query entities; STAR yields an O (log …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,131
The YAGO-NAGA approach to knowledge discovery,Gjergji Kasneci; Maya Ramanath; Fabian Suchanek; Gerhard Weikum,Abstract This paper gives an overview on the YAGO-NAGA approach to informationextraction for building a conveniently searchable; large-scale; highly accurate knowledgebase of common facts. YAGO harvests infoboxes and category names of Wikipedia for factsabout individual entities; and it reconciles these with the taxonomic backbone of WordNet inorder to ensure that all entities have proper classes and the class system is consistent.Currently; the YAGO knowledge base contains about 19 million instances of binary relationsfor about 1.95 million entities. Based on intensive sampling; its accuracy is estimated to beabove 95 percent. The paper presents the architecture of the YAGO extractor toolkit; itsdistinctive approach to consistency checking; its provisions for maintenance and furthergrowth; and the query engine for YAGO; coined NAGA. It also discusses ongoing work on …,ACM SIGMOD Record,2009,114
Language-model-based ranking for queries on RDF-graphs,Shady Elbassuoni; Maya Ramanath; Ralf Schenkel; Marcin Sydow; Gerhard Weikum,Abstract The success of knowledge-sharing communities like Wikipedia and the advances inautomatic information extraction from textual and Web sources have made it possible tobuild large" knowledge repositories" such as DBpedia; Freebase; and YAGO. Thesecollections can be viewed as graphs of entities and relationships (ER graphs) and can berepresented as a set of subject-property-object (SPO) triples in the Semantic-Web datamodel RDF. Queries can be expressed in the W3C-endorsed SPARQL language or bysimilarly designed graph-pattern search. However; exact-match query semantics often fallshort of satisfying the users' needs by returning too many or too few results. Therefore; IR-style ranking models are crucially needed. In this paper; we propose a language-model-based approach to ranking the results of exact; relaxed and keyword-augmented graph …,Proceedings of the 18th ACM conference on Information and knowledge management,2009,86
Database and information-retrieval methods for knowledge discovery,Gerhard Weikum; Gjergji Kasneci; Maya Ramanath; Fabian Suchanek,Our aim here is to advocate for the integration of database systems (DB) and information-retrieval(IR) methods to address applications that are emerging from the ongoing explosion and diversificationof digital information. One grand goal of such an endeavor is the automatic building and maintenanceof a comprehensive knowledge base of facts from encyclopedic sources and the scientificliterature. Facts should be represented in terms of typed entities and relationships and allowexpressive queries that return ranked results with precision in an efficient and scalablemanner. We thus explore how DB and IR methods might contribute toward this ambitiousgoal … DB and IR are separate fields in computer science due to historical accident. Both investigateconcepts; models; and computational methods for managing large amounts of complexinformation; though each began almost 40 years ago with very different application areas …,Communications of the ACM,2009,66
Searching RDF Graphs with SPARQL and Keywords.,Shady Elbassuoni; Maya Ramanath; Ralf Schenkel; Gerhard Weikum,Abstract The proliferation of knowledge-sharing communities like Wikipedia and theadvances in automated information extraction from Web pages enable the construction oflarge knowledge bases with facts about entities and their relationships. The facts can berepresented in the RDF data model; as so-called subject-property-object triples; and canthus be queried by structured query languages like SPARQL. In principle; this allows precisequerying in the database spirit. However; RDF data may be highly diverse and queries mayreturn way too many results; so that ranking by informativeness measures is crucial to avoidoverwhelming users. Moreover; as facts are extracted from textual contexts or havecommunity-provided annotations; it can be beneficial to consider also,IEEE Data Eng. Bull.,2010,59
Searching for efficient XML-to-relational mappings,Maya Ramanath; Juliana Freire; Jayant R Haritsa; Prasan Roy,Abstract We consider the problem of cost-based strategies to derive efficient relationalconfigurations for XML applications that subscribe to an XML Schema. In particular; wepropose a flexible framework for XML schema transformations and show how it can be usedto design algorithms to search the space of equivalent relational configurations. We studythe impact of the schema transformations and query workload on the search strategies forfinding efficient XML-to-relational mappings. In addition; we propose several optimizations tospeed up the search process. Our experiments indicate that a judicious choice oftransformations and search strategies can lead to relational configurations of substantiallyhigher quality than those recommended by previous approaches.,International XML Database Symposium,2003,49
Query relaxation for entity-relationship search,Shady Elbassuoni; Maya Ramanath; Gerhard Weikum,Abstract Entity-relationship-structured data is becoming more important on the Web. Forexample; large knowledge bases have been automatically constructed by informationextraction from Wikipedia and other Web sources. Entities and relationships can berepresented by subject-property-object triples in the RDF model; and can then be preciselysearched by structured query languages like SPARQL. Because of their Boolean-matchsemantics; such queries often return too few or even no results. To improve recall; it is thusdesirable to support users by automatically relaxing or reformulating queries in such a waythat the intention of the original user query is preserved while returning a sufficient numberof ranked results. In this paper we describe comprehensive methods to relax SPARQL-liketriple-pattern queries in a fully automated manner. Our framework produces a set of …,Extended Semantic Web Conference,2011,48
