Computing with spatial trajectories,Yu Zheng; Xiaofang Zhou,Spatial trajectories have been bringing the unprecedented wealth to a variety of researchcommunities. A spatial trajectory records the paths of a variety of moving objects; such aspeople who log their travel routes with GPS trajectories. The field of moving objects relatedresearch has become extremely active within the last few years; especially with all majordatabase and data mining conferences and journals. Computing with Spatial Trajectoriesintroduces the algorithms; technologies; and systems used to process; manage andunderstand existing spatial trajectories for different applications. This book also presents anoverview on both fundamentals and the state-of-the-art research inspired by spatialtrajectory data; as well as a special focus on trajectory pattern mining; spatio-temporal datamining and location-based social networks. Each chapter provides readers with a tutorial …,*,2011,397
Discovery of convoys in trajectory databases,Hoyoung Jeung; Man Lung Yiu; Xiaofang Zhou; Christian S Jensen; Heng Tao Shen,Abstract As mobile devices with positioning capabilities continue to proliferate; datamanagement for so-called trajectory databases that capture the historical movements ofpopulations of moving objects becomes important. This paper considers the querying ofsuch databases for convoys; a convoy being a group of objects that have traveled togetherfor some time. More specifically; this paper formalizes the concept of a convoy query usingdensity-based notions; in order to capture groups of arbitrary extents and shapes. Convoydiscovery is relevant for real-life applications in throughput planning of trucks and carpoolingof vehicles. Although there has been extensive research on trajectories in the literature;none of this can be applied to retrieve correctly exact convoy result sets. Motivated by this;we develop three efficient algorithms for convoy discovery that adopt the well-known filter …,Proceedings of the VLDB Endowment,2008,381
Spark: top-k keyword query in relational databases,Yi Luo; Xuemin Lin; Wei Wang; Xiaofang Zhou,Abstract With the increasing amount of text data stored in relational databases; there is ademand for RDBMS to support keyword queries over text data. As a search result is oftenassembled from multiple relational tables; traditional IR-style ranking and query evaluationmethods cannot be applied directly. In this paper; we study the effectiveness and theefficiency issues of answering top-k keyword query in relational database systems. Wepropose a new ranking formula by adapting existing IR techniques based on a naturalnotion of virtual document. Compared with previous approaches; our new ranking method issimple yet effective; and agrees with human perceptions. We also study efficient queryprocessing methods for the new ranking method; and propose algorithms that have minimalaccesses to the database. We have conducted extensive experiments on large-scale real …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,367
l2; 1-norm regularized discriminative feature selection for unsupervised learning,Yi Yang; Heng Tao Shen; Zhigang Ma; Zi Huang; Xiaofang Zhou,Abstract Compared with supervised learning for feature selection; it is much more difficult toselect the discriminative features in unsupervised learning due to the lack of labelinformation. Traditional unsupervised feature selection algorithms usually select the featureswhich best preserve the data distribution; eg; manifold structure; of the whole feature set.Under the assumption that the class label of input data can be predicted by a linearclassifier; we incorporate discriminative analysis and l2; 1-norm minimization into a jointframework for unsupervised feature selection. Different from existing unsupervised featureselection algorithms; our algorithm selects the most discriminative feature subset from thewhole feature set in batch mode. Extensive experiment on different data types demonstratesthe effectiveness of our algorithm.,IJCAI proceedings-international joint conference on artificial intelligence,2011,321
A hybrid prediction model for moving objects,Hoyoung Jeung; Qing Liu; Heng Tao Shen; Xiaofang Zhou,Existing prediction methods in moving objects databases cannot forecast locationsaccurately if the query time is far away from the current time. Even for near future prediction;most techniques assume the trajectory of an object's movements can be represented bysome mathematical formulas of motion functions based on its recent movements. However;an object's movements are more complicated than what the mathematical formulas canrepresent. Prediction based on an object's trajectory patterns is a powerful way and hasbeen investigated by several work. But their main interest is how to discover the patterns. Inthis paper; we present a novel prediction approach; namely The Hybrid Prediction Model;which estimates an object's future locations based on its pattern information as well asexisting motion functions using the object's recent movements. Specifically; an object's …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,247
Discovering popular routes from trajectories,Zaiben Chen; Heng Tao Shen; Xiaofang Zhou,The booming industry of location-based services has accumulated a huge collection ofusers' location trajectories of driving; cycling; hiking; etc. In this work; we investigate theproblem of discovering the Most Popular Route (MPR) between two locations by observingthe traveling behaviors of many previous users. This new query is beneficial to travelers whoare asking directions or planning a trip in an unfamiliar city/area; as historical travelingexperiences can reveal how people usually choose routes between locations. To achievethis goal; we firstly develop a Coherence Expanding algorithm to retrieve a transfer networkfrom raw trajectories; for indicating all the possible movements between locations. After that;the Absorbing Markov Chain model is applied to derive a reasonable transfer probability foreach transfer node in the network; which is subsequently used as the popularity indicator …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,236
Multi-source skyline query processing in road networks,Ke Deng; Xiaofang Zhou; Heng Tao,Skyline query processing has been investigated extensively in recent years; mostly for onlyone query reference point. An example of a single-source skyline query is to find hotelswhich are cheap and close to the beach (an absolute query); or close to a user-givenlocation (a relatively query). A multi-source skyline query considers several query points atthe same time (eg; to find hotels which are cheap and close to the University; the BotanicGarden and the China Town). In this paper; we consider the problem of efficient multi-sourceskyline query processing in road networks. It is not only the first effort to consider multi-source skyline query in road networks but also the first effort to process the relative skylinequeries where the network distance between two locations needs to be computed on-the-fly.Three different query processing algorithms are proposed and evaluated in this paper …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,197
Unsupervised feature selection using nonnegative spectral analysis.,Zechao Li; Yi Yang; Jing Liu; Xiaofang Zhou; Hanqing Lu,Abstract In this paper; a new unsupervised learning algorithm; namely NonnegativeDiscriminative Feature Selection (NDFS); is proposed. To exploit the discriminativeinformation in unsupervised scenarios; we perform spectral clustering to learn the clusterlabels of the input samples; during which the feature selection is performed simultaneously.The joint learning of the cluster labels and feature selection matrix enables NDFS to selectthe most discriminative features. To learn more accurate cluster labels; a nonnegativeconstraint is explicitly imposed to the class indicators. To reduce the redundant or evennoisy features; l2; 1-norm minimization constraint is added into the objective function; whichguarantees the feature selection matrix sparse in rows. Our algorithm exploits thediscriminative information and feature correlation simultaneously to select a better feature …,AAAI,2012,189
Searching trajectories by locations: an efficiency study,Zaiben Chen; Heng Tao Shen; Xiaofang Zhou; Yu Zheng; Xing Xie,Abstract Trajectory search has long been an attractive and challenging topic which bloomsvarious interesting applications in spatial-temporal databases. In this work; we study a newproblem of searching trajectories by locations; in which context the query is only a small setof locations with or without an order specified; while the target is to find the k Best-Connected Trajectories (k-BCT) from a database such that the k-BCT best connect thedesignated locations geographically. Different from the conventional trajectory search thatlooks for similar trajectories wrt shape or other criteria by using a sample query trajectory; wefocus on the goodness of connection provided by a trajectory to the specified querylocations. This new query can benefit users in many novel applications such as tripplanning. In our work; we firstly define a new similarity function for measuring how well a …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,154
Towards effective indexing for very large video sequence database,Heng Tao Shen; Beng Chin Ooi; Xiaofang Zhou,Abstract With rapid advances in video processing technologies and ever fast increments innetwork bandwidth; the popularity of video content publishing and sharing has madesimilarity search an indispensable operation to retrieve videos of user interests. The videosimilarity is usually measured by the percentage of similar frames shared by two videosequences; and each frame is typically represented as a high-dimensional feature vector.Unfortunately; high complexity of video content has posed the following major challenges forfast retrieval:(a) effective and compact video representations;(b) efficient similaritymeasurements; and (c) efficient indexing on the compact representations. In this paper; wepropose a number of methods to achieve fast similarity search for very large video database.First; each video sequence is summarized into a small number of clusters; each of which …,Proceedings of the 2005 ACM SIGMOD international conference on Management of data,2005,150
