Microsoft CEP server and online behavioral targeting,Mohamed H Ali; Ciprian Gerea; Balan Sethu Raman; Beysim Sezgin; Tiho Tarnavski; Tomer Verona; Ping Wang; Peter Zabback; A Ananthanarayan; A Kirilov; Ming Lu; Alex Raizman; Ramkumar Krishnan; Roman Schindlauer; Torsten Grabs; Sharon Bjeletich; Badrish Chandramouli; Jonathan Goldstein; Sudin Bhat; Ying Li; Vincenzo Di Nicola; Xianfang Wang; David Maier; S Grell; Olivier Nano; I Santos,Abstract In this demo; we present the Microsoft Complex Event Processing (CEP) Server;Microsoft CEP for short. Microsoft CEP is an event stream processing system featured by itsdeclarative query language and its multiple consistency levels of stream query processing.Query composability; query fusing; and operator sharing are key features in the MicrosoftCEP query processor. Moreover; the debugging and supportability tools of Microsoft CEPprovide visibility of system internals to users. Web click analysis has been crucial to behavior-based online marketing. Streams of web click events provide a typical workload for a CEPserver. Meanwhile; a CEP server with its processing capabilities plays a key role in web clickanalysis. This demo highlights the features of Microsoft CEP under a workload of web clickevents.,Proceedings of the VLDB Endowment,2009,104
Temporal analytics on big data for web advertising,Badrish Chandramouli; Jonathan Goldstein; Songyun Duan," Big Data" in map-reduce (MR) clusters is often fundamentally temporal in nature; as aremany analytics tasks over such data. For instance; display advertising uses BehavioralTargeting (BT) to select ads for users based on prior searches; page views; etc. Previouswork on BT has focused on techniques that scale well for offline data using MR. However;this approach has limitations for BT-style applications that deal with temporal data:(1) manyqueries are temporal and not easily expressible in MR; and moreover; the set-orientednature of MR front-ends such as SCOPE is not suitable for temporal processing;(2) ascommercial systems mature; they may need to also directly analyze and react to real-timedata feeds since a high turnaround time can result in missed opportunities; but it is difficultfor current solutions to naturally also operate over real-time streams. Our contributions are …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,92
Trill: A high-performance incremental query processor for diverse analytics,Badrish Chandramouli; Jonathan Goldstein; Mike Barnett; Robert DeLine; Danyel Fisher; John C Platt; James F Terwilliger; John Wernsing,Abstract This paper introduces Trill--a new query processor for analytics. Trill fulfills acombination of three requirements for a query processor to serve the diverse big dataanalytics space:(1) Query Model: Trill is based on a tempo-relational model that enables it tohandle streaming and relational queries with early results; across the latency spectrum fromreal-time to offline;(2) Fabric and Language Integration: Trill is architected as a high-levellanguage library that supports rich data-types and user libraries; and integrates well withexisting distribution fabrics and applications; and (3) Performance: Trill's throughput is highacross the latency spectrum. For streaming data; Trill's throughput is 2-4 orders of magnitudehigher than comparable streaming engines. For offline relational queries; Trill's throughput iscomparable to a major modern commercial columnar DBMS. Trill uses a streaming …,Proceedings of the VLDB Endowment,2014,81
Asynchronous transfer of state information between continuous query plans,*,Described herein are technologies pertaining to migrating state information of operators in afirst continuous query plan to a second continuous query plan in an asynchronous manner;such that the first continuous query plan need not cease executing during the migrating ofthe state information. State information pertaining to stateful operators; such as joinoperators; is migrated from the first continuous query plan to the second continuous queryplan by way of a transformation plan. State matching is utilized to generate thetransformation plan.,*,2013,51
Sqlvm: Performance isolation in multi-tenant relational database-as-a-service,Vivek Narasayya; Sudipto Das; Manoj Syamala; Badrish Chandramouli; Surajit Chaudhuri,Abstract A relational Database-as-a-Service provider; such as Microsoft SQL Azure; canshare resources of a single database server among multiple tenants. This multi-tenancyenables cost reduction for the cloud service provider which it can pass on as savings to thetenants. However; resource sharing can adversely affect a tenant's performance due toresource demands of other tenants' workloads. Service providers today do not provide anyassurances to a tenant in terms of isolating its performance from other co-located tenants.We present SQLVM; an abstraction for performance isolation which is built on a promise ofreservation of key database server resources; such as CPU; I/O and memory; for eachtenant. The key challenge is in supporting this abstraction within a DBMS without staticallyallocating resources to tenants; while ensuring low overheads and scaling to large …,*,2013,49
StreamRec: a real-time recommender system,Badrish Chandramouli; Justin J Levandoski; Ahmed Eldawy; Mohamed F Mokbel,Research and development of recommender systems has been a vibrant field for over adecade; having produced proven methods for “preference-aware” computing.Recommenders use community opinion histories to help users identify interesting items froma considerably large search space (eg; inventory from Amazon [7]; movies from Netflix [9]).Personalization; recommendation; and the “human side" of data-centric applications arealso becoming important topics in the data management community [3]. A popularrecommendation method used heavily in practice is collaborative filtering; consisting of twophases:(1) An offline model-building phase that uses community opinions of items (eg;movie ratings;“Diggs”[6]) to build a model storing meaningful correlations between usersand items.(2) An on-demand recommendation phase that uses the model to produce a …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,47
Real-time-ready behavioral targeting in a large-scale advertisement system,*,A “Real-Time-Ready Analyzer” combines a data stream management system (DSMS) with amap-reduce (MR) framework to construct a streaming map-reduce framework that is suitablefor real-time Behavioral Targeting (BT)(or other temporal queries). The Real-Time-ReadyAnalyzer allows users to write “dual-intent” temporal analysis queries for BT. These queriesare succinct and easy to express; scale well on large-scale offline data; and can also workover real-time data. Further; the Real-Time-Ready Analyzer uses the aforementionedstreaming map-reduce framework to provide dual-intent algorithms for end-to-end BTphases. Experiments using real data from an advertisement system show that the Real-Time-Ready Analyzer is very efficient and incurs orders-of-magnitude lower development effortthan conventional systems.,*,2013,46
The extensibility framework in Microsoft StreamInsight,Mohamed Ali; Badrish Chandramouli; Jonathan Goldstein; Roman Schindlauer,Microsoft StreamInsight (StreamInsight; for brevity) is a platform for developing anddeploying streaming applications; which need to run continuous queries over high-data-ratestreams of input events. StreamInsight leverages a well-defined temporal stream model andoperator algebra; as the underlying basis for processing long-running continuous queriesover event streams. This allows StreamInsight to handle imperfections in event delivery andto provide correctness guarantees on the generated output. StreamInsight natively supportsa diverse range of off-the-shelf streaming operators. In order to cater to a much broaderrange of customer scenarios and applications; StreamInsight has recently introduced a newextensibility infrastructure. With this infrastructure; StreamInsight enables developers tointegrate their domain expertise within the query pipeline in the form of user defined …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,46
High-performance dynamic pattern matching over disordered streams,Badrish Chandramouli; Jonathan Goldstein; David Maier,Abstract Current pattern-detection proposals for streaming data recognize the need to movebeyond a simple regular-expression model over strictly ordered input. We continue in thisdirection; relaxing restrictions present in some models; removing the requirement forordered input; and permitting stream revisions (modification of prior events). Further;recognizing that patterns of interest in modern applications may change frequently over thelifetime of a query; we support updating of a pattern specification without blocking input orrestarting the operator. Our new pattern operator (called AFA) is a streaming adaptation of anon-deterministic finite automaton (NFA) where additional schema-based user-definedinformation; called a register; is accessible to NFA transitions during execution. AFAssupport dynamic patterns; where the pattern itself can change over time. We propose …,Proceedings of the VLDB Endowment,2010,43
Spatio-temporal stream processing in microsoft streaminsight,Mohamed Ali1 Badrish Chandramouli2 Balan Sethu; Raman1 Ed Katibah,Abstract Microsoft StreamInsight is a platform for developing and deploying streamingapplications. StreamInsight embraces a temporal stream model to unify and further enrichquery language features; handle imperfections in event delivery and define consistencyguarantees on the output. With its extensibility framework; StreamInsight enables developersto integrate their domain expertise within the query pipeline as user defined functions;operators and aggregates. Also; the Microsoft SQL Server Spatial Library deliverscomprehensive spatial support that enables organizations to seamlessly consume; use; andextend location-based data. This paper covers two approaches to support spatio-temporalstream processing in StreamInsight. First; the paper describes the ongoing effort at MicrosoftSQL Server to bring together the temporal aspect of StreamInsight and the spatial support …,Data Engineering,2010,43
