Reconstruction and simulation of neocortical microcircuitry,Henry Markram; Eilif Muller; Srikanth Ramaswamy; Michael W Reimann; Marwan Abdellah; Carlos Aguado Sanchez; Anastasia Ailamaki; Lidia Alonso-Nanclares; Nicolas Antille; Selim Arsever; Guy Antoine Atenekeng Kahou; Thomas K Berger; Ahmet Bilgili; Nenad Buncic; Athanassia Chalimourda; Giuseppe Chindemi; Jean-Denis Courcol; Fabien Delalondre; Vincent Delattre; Shaul Druckmann; Raphael Dumusc; James Dynes; Stefan Eilemann; Eyal Gal; Michael Emiel Gevaert; Jean-Pierre Ghobril; Albert Gidon; Joe W Graham; Anirudh Gupta; Valentin Haenel; Etay Hay; Thomas Heinis; Juan B Hernando; Michael Hines; Lida Kanari; Daniel Keller; John Kenyon; Georges Khazen; Yihwa Kim; James G King; Zoltan Kisvarday; Pramod Kumbhar; Sébastien Lasserre; Jean-Vincent Le Bé; Bruno RC Magalhães; Angel Merchán-Pérez; Julie Meystre; Benjamin Roy Morrice; Jeffrey Muller; Alberto Muñoz-Céspedes; Shruti Muralidhar; Keerthan Muthurasa; Daniel Nachbaur; Taylor H Newton; Max Nolte; Aleksandr Ovcharenko; Juan Palacios; Luis Pastor; Rodrigo Perin; Rajnish Ranjan; Imad Riachi; José-Rodrigo Rodríguez; Juan Luis Riquelme; Christian Rössert; Konstantinos Sfyrakis; Ying Shi; Julian C Shillcock; Gilad Silberberg; Ricardo Silva; Farhan Tauheed; Martin Telefont; Maria Toledo-Rodriguez; Thomas Tränkler; Werner Van Geit; Jafet Villafranca Díaz; Richard Walker; Yun Wang; Stefano M Zaninetta; Javier DeFelipe; Sean L Hill; Idan Segev; Felix Schürmann,Summary We present a first-draft digital reconstruction of the microcircuitry of somatosensorycortex of juvenile rat. The reconstruction uses cellular and synaptic organizing principles toalgorithmically reconstruct detailed anatomy and physiology from sparse experimental data.An objective anatomical method defines a neocortical volume of 0.29±0.01 mm 3containing∼ 31;000 neurons; and patch-clamp studies identify 55 layer-specificmorphological and 207 morpho-electrical neuron subtypes. When digitally reconstructedneurons are positioned in the volume and synapse formation is restricted to biologicalbouton densities and numbers of synapses per connection; their overlapping arbors form∼8 million connections with∼ 37 million synapses. Simulations reproduce an array of in vitroand in vivo experiments without parameter tuning. Additionally; we find a spectrum of …,Cell,2015,291
Efficient lineage tracking for scientific workflows,Thomas Heinis; Gustavo Alonso,Abstract Data lineage and data provenance are key to the management of scientific data.Not knowing the exact provenance and processing pipeline used to produce a derived dataset often renders the data set useless from a scientific point of view. On the positive side;capturing provenance information is facilitated by the widespread use of workflow tools forprocessing scientific data. The workflow process describes all the steps involved inproducing a given data set and; hence; captures its lineage. On the negative side; efficientlystoring and querying workflow based data lineage is not trivial. All existing solutions userecursive queries and even recursive tables to represent the workflows. Such solutions donot scale and are rather inefficient. In this paper we propose an alternative approach tostoring lineage information captured as a workflow process. We use a space and query …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,126
Design and evaluation of an autonomic workflow engine,Thomas Heinis; Cesare Pautasso; Gustavo Alonso,In this paper we present the design and evaluate the performance of an autonomic workflowexecution engine. Although there exist many distributed workflow engines; in practice; itremains a difficult problem to deploy such systems in an optimal configuration. Furthermore;when facing an unpredictable workload with high variability; manual reconfiguration is notan option. Thanks to its autonomic controller; the engine features self-configuration; self-tuning and self-healing properties. The engine runs on a cluster of computers using a tuplespace to coordinate its various components. Its autonomic controller monitors itsperformance and responds to workload variations by altering the configuration. In casefailures occur; the controller can recover the workflow execution state from persistent storageand migrate it to a different node of the cluster. Such interventions are carried out without …,Autonomic Computing; 2005. ICAC 2005. Proceedings. Second International Conference on,2005,90
Developing scientific workflows from heterogeneous services,Aphrodite Tsalgatidou; George Athanasopoulos; Michael Pantazoglou; Cesare Pautasso; Thomas Heinis; Roy Grønmo; Hjørdis Hoff; Arne-Jørgen Berre; Magne Glittum; Simela Topouzidou,Abstract Scientific WorkFlows (SWFs) need to utilize components and applications in orderto satisfy the requirements of specific workflow tasks. Technology trends in softwaredevelopment signify a move from component-based to service-oriented approach; thereforeSWF will inevitably need appropriate tools to discover and integrate heterogeneousservices. In this paper we present the SODIUM platform consisting of a set of languages andtools as well as related middleware; for the development and execution of scientificworkflows composed of heterogeneous services.,ACM Sigmod Record,2006,66
Autonomic execution of web service compositions,Cesare Pautasso; Thomas Heinis; Gustavo Alonso,An increasing amount of Web services are being implemented using process managementtools and languages (BPML; BPEL; etc.). The main advantage of processes is that designerscan express complex business conversations at a high level of abstraction; even reusingstandardized business protocols. The downside is that the infrastructure behind the Webservice becomes more complex. This is particularly critical for Web services that may besubjected to high variability in demand and suffer from unpredictable peaks of heavy load. Inthis paper we present a flexible architecture for process execution that has been designed tosupport autonomic scalability. The system runs on a cluster of computers and reacts toworkload variations by altering its configuration in order to optimally use the availableresources. Such changes happen automatically and without any human intervention. This …,Web Services; 2005. ICWS 2005. Proceedings. 2005 IEEE International Conference on,2005,55
Overview of autonomic computing: Origins; evolution; direction,Alan Ganek,*,Autonomic Computing: Concepts; Infrastructure; and Applications.; by Salim Hariri Manish Parashar,2004,44
Autonomic resource provisioning for software business processes,Cesare Pautasso; Thomas Heinis; Gustavo Alonso,Abstract Software development nowadays involves several levels of abstraction: startingfrom the programming of single objects; to their combination into components; to theirpublication as services and the overall architecture linking elements at each level. As aresult; software engineering is dealing with a wider range of artifacts and concepts (ie; in thecontext of this paper: services and business processes) than ever before. In this paper weexplore the importance of having an adequate engine for executing business processeswritten as compositions of Web services. The paper shows that; independently of thecomposition language used; the overall scalability of the system is determined by how therun-time engine treats the process execution. This is particularly relevant at the service levelbecause publishing a process through a Web service interface makes it accessible to an …,Information and Software Technology,2007,41
TOUCH: in-memory spatial join by hierarchical data-oriented partitioning,Sadegh Nobari; Farhan Tauheed; Thomas Heinis; Panagiotis Karras; Stéphane Bressan; Anastasia Ailamaki,Abstract Efficient spatial joins are pivotal for many applications and particularly important forgeographical information systems or for the simulation sciences where scientists work withspatial models. Past research has primarily focused on disk-based spatial joins; efficient in-memory approaches; however; are important for two reasons: a) main memory has grown solarge that many datasets fit in it and b) the in-memory join is a very time-consuming part of alldisk-based spatial joins. In this paper we develop TOUCH; a novel in-memory spatial joinalgorithm that uses hierarchical data-oriented space partitioning; thereby keeping both itsmemory footprint and the number of comparisons low. Our results show that TOUCHoutperforms known in-memory spatial-join algorithms as well as in-memory implementationsof disk-based join approaches. In particular; it has a one order of magnitude advantage …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,35
JOpera: Autonomic Service Orchestration.,Cesare Pautasso; Thomas Heinis; Gustavo Alonso,The increasing interest in new software engineering technologies for application integrationsuch as Service Oriented Computing and Service Orchestration has resulted in aproliferation of workflow management systems as the underlying representation andexecution platform for service composition [7]. Workflow management system are also beingapplied to new domains (eg; virtual scientific laboratories [1]; Grid computing [12]; servicedelivery and provisioning [6]). For these new applications; workflows are seen as themodeling metaphor behind the notion of straight through processing and virtualorganizations where a collection of existing heterogeneous systems are composed into anintegrated solution. In all these settings workflow engines are at the core of a complexcombination of applications and clustered computers. As such; they have become rather …,IEEE Data Eng. Bull.,2006,30
Just-in-time data virtualization: Lightweight data management with ViDa,Manos Karpathiotakis; Ioannis Alagiannis; Thomas Heinis; Miguel Branco; Anastasia Ailamaki,ABSTRACT As the size of data and its heterogeneity increase; traditional database systemarchitecture becomes an obstacle to data analysis. Integrating and ingesting (loading) datainto databases is quickly becoming a bottleneck in face of massive data as well asincreasingly heterogeneous data formats. Still; state-of-the-art approaches typically rely oncopying and transforming data into one (or few) repositories. Queries; on the other hand; areoften ad-hoc and supported by pre-cooked operators which are not adaptive enough tooptimize access to data. As data formats and queries increasingly vary; there is a need todepart from the current status quo of static query processing primitives and build dynamic;fully adaptive architectures. We build ViDa; a system which reads data in its raw format andprocesses queries using adaptive; just-in-time operators. Our key insight is use of …,Proceedings of the 7th Biennial Conference on Innovative Data Systems Research (CIDR),2015,27
Accelerating range queries for brain simulations,Farhan Tauheed; Laurynas Biveinis; Thomas Heinis; Felix Schurmann; Henry Markram; Anastasia Ailamaki,Neuroscientists increasingly use computational tools in building and simulating models ofthe brain. The amounts of data involved in these simulations are immense and efficientlymanaging this data is key. One particular problem in analyzing this data is the scalableexecution of range queries on spatial models of the brain. Known indexing approaches donot perform well even on today's small models which represent a small fraction of the brain;containing only few millions of densely packed spatial elements. The problem of currentapproaches is that with the increasing level of detail in the models; also the overlap in thetree structure increases; ultimately slowing down query execution. The neuroscientists' needto work with bigger and more detailed (denser) models thus motivates us to develop a newindexing approach. To this end we develop FLAT; a scalable indexing approach for …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,25
Parinda: an interactive physical designer for postgresql,Cristina Maier; Debabrata Dash; Ioannis Alagiannis; Anastasia Ailamaki; Thomas Heinis,Abstract One of the most challenging tasks for the database administrator is to physicallydesign the database to attain optimal performance for a given workload. Physical design ishard because it requires the selection of an optimal set of design features from a vast searchspace. There have been many commercial tools available to automatically suggest thephysical design; for a given a set of queries. These tools are; however; based on greedyheuristic pruning; which reduces their usefulness. Furthermore; they are not interactive; asthe APIs to simulate the indexes and tables are product specific and hidden from thedatabase administrators. Finally; all these tools are built specifically for commercial systemsand there is lack of automated physical designers for open source DBMSs. In thisdemonstration we introduce-PARINDA-an interactive physical designer for an open …,Proceedings of the 13th International Conference on Extending Database Technology,2010,24
Automatic configuration of an autonomic controller: An experimental study with zero-configuration policies,Thomas Heinis; Cesare Pautasso,Autonomic control managers can remove the need for manual system configuration in orderto achieve good performance and efficient resource utilization. However; simple controllersbased on reconfiguration actions tied to thresholds; or'if-then'rules; themselves need to beconfigured and tuned in order to adapt the controller behavior to the expected workloadcharacteristic. In this paper we present an experimental study of zero-configuration policiesthat can be automatically tuned based on analytical models of the system under control. Inparticular; we have designed and implemented a threshold-free self-configuration policy fora distributed workflow execution engine and compared it with a standard PID controller. Theexperimental results included in the paper show that using such apolicy the controller cantune itself in addition to reconfiguring the distributed engine and the proposed policy out …,Autonomic Computing; 2008. ICAC'08. International Conference on,2008,16
Publishing persistent grid computations as WS resources,Thomas Heinis; Cesare Pautasso; Oliver Deak; Gustavo Alonso,Grid services can be composed into processes; providing a high level definition of thecomputations involved in terms of their data exchanges and control flow dependencies. Inthis paper we show how processes themselves can be efficiently published as grid servicesby mapping the persistent state of the process executions to standard compliant interfacesas defined by the Web Services Resource Framework (WS-RF). Mapping processes toresources is a fundamental step to enable recursive Grid service composition; wherecomposite grid services are themselves published as services. This gives processes astandardized and well-understood interface that enables their management; monitoring;steering and adaptation. Additionally it eases their reusability and simplifies integration intoexisting grid applications and portals. In order to determine the mapping's overhead; we …,e-Science and Grid Computing; 2005. First International Conference on,2005,16
SCOUT: prefetching for latent structure following queries,Farhan Tauheed; Thomas Heinis; Felix Schürmann; Henry Markram; Anastasia Ailamaki,Abstract Today's scientists are quickly moving from in vitro to in silico experimentation: theyno longer analyze natural phenomena in a petri dish; but instead they build models andsimulate them. Managing and analyzing the massive amounts of data involved insimulations is a major task. Yet; they lack the tools to efficiently work with data of this size.One problem many scientists share is the analysis of the massive spatial models they build.For several types of analysis they need to interactively follow the structures in the spatialmodel; eg; the arterial tree; neuron fibers; etc.; and issue range queries along the way. Eachquery takes long to execute; and the total time for executing a sequence of queriessignificantly delays data analysis. Prefetching the spatial data reduces the response timeconsiderably; but known approaches do not prefetch with high accuracy.,Proceedings of the VLDB Endowment,2012,14
Data analysis: Approximation aids handling of big data,Thomas Heinis,Abstract We need a radical shift in our approach to data analysis towards approximation.Our technical capacity is being overtaken by the unprecedented rate of data generation bytoday's powerful instruments and computers (see H. Esmaeilzadehet al. Commun. ACM56;93,Nature,2014,9
THERMAL-JOIN: A scalable spatial join for dynamic workloads,Farhan Tauheed; Thomas Heinis; Anastasia Ailamaki,Abstract Simulations have become ubiquitous in many domains of science. Today scientistsstudy natural phenomena by first building massive three-dimensional spatial models andthen by simulating the models at discrete intervals of time to mimic the behavior of naturalphenomena. One frequently occurring challenge during simulations is the repeatedcomputation of spatial self-joins of the model at each simulation time step. The join isperformed to access a group of neighboring spatial objects (groups of particles; moleculesor cosmological objects) so that scientists can calculate the cumulative effect (likegravitational force) on an object. Computing a self-join even in memory; soon becomes aperformance bottleneck in simulation applications. The problem becomes even worse asscientists continue to improve the precision of simulations by increasing the number as …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,8
Challenges and opportunities in self-managing scientific databases,Thomas Heinis; Miguel Branco; Ioannis Alagiannis; Renata Borovica; Farhan Tauheed; Anastasia Ailamaki,Abstract Advances in observation instruments and abundance of computational power forsimulations encourage scientists to gather and produce unprecedented amounts ofincreasingly complex data. Organizing data automatically to enable efficient andunobstructed access is pivotal for the scientists. Organizing these vast amounts of complexdata; however; is particularly difficult for scientists who have little experience in datamanagement; hence they spend considerable amounts of time dealing with data analysisand computing problems rather than answering scientific questions or developing newhypotheses. Therefore scientific experiments are in many ways ideal targets for research inself-managing database systems. In this paper; we describe challenges and opportunitiesfor research in automating scientific data management. We first discuss the problems …,Data Engineering Bulletin,2011,7
Mirroring resources or mapping requests: implementing WS-RF for Grid workflows,Thomas Heinis; Cesare Pautasso; Gustavo Alonso,The Web services resource framework (WS-RF) and the Web services notification (WS-N)specifications are a crucial component of grid infrastructures. They provide a standardizedinterface to stateful services so that they can be managed remotely. There are alreadyseveral implementations of these specifications and initial performance studies havecompared them in terms of the overhead observed by a single client. In this paper; weaddress the problem of implementing the WS-RF and WS-N specifications for large scalesystems. In particular; we discuss how to implement WS-RF and WS-N as the managementinterfaces to a grid workflow engine. In the paper we describe and compare two differentarchitectures for mapping resources to processes. The first one mirrors the state of theprocess as a resource. The second one maps the client requests to access the state of a …,Cluster Computing and the Grid; 2006. CCGRID 06. Sixth IEEE International Symposium on,2006,6
