Data mining: concepts and techniques,Jiawei Han; Jian Pei; Micheline Kamber,Data Mining: Concepts and Techniques provides the concepts and techniques in processinggathered data or information; which will be used in various applications. Specifically; itexplains data mining and the tools used in discovering knowledge from the collected data.This book is referred as the knowledge discovery from data (KDD). It focuses on thefeasibility; usefulness; effectiveness; and scalability of techniques of large data sets. Afterdescribing data mining; this edition explains the methods of knowing; preprocessing;processing; and warehousing data. It then presents information about data warehouses;online analytical processing (OLAP); and data cube technology. Then; the methods involvedin mining frequent patterns; associations; and correlations for large data sets are described.The book details the methods for data classification and introduces the concepts and …,*,2011,39066
Mining frequent patterns without candidate generation,Jiawei Han; Jian Pei; Yiwen Yin,Abstract Mining frequent patterns in transaction databases; time-series databases; andmany other kinds of databases has been studied popularly in data mining research. Most ofthe previous studies adopt an Apriori-like candidate set generation-and-test approach.However; candidate set generation is still costly; especially when there exist prolific patternsand/or long patterns. In this study; we propose a novel frequent pattern tree (FP-tree)structure; which is an extended prefix-tree structure for storing compressed; crucialinformation about frequent patterns; and develop an efficient FP-tree-based mining method;FP-growth; for mining the complete set of frequent patterns by pattern fragment growth.Efficiency of mining is achieved with three techniques:(1) a large database is compressedinto a highly condensed; much smaller data structure; which avoids costly; repeated …,ACM sigmod record,2000,7849
Prefixspan: Mining sequential patterns efficiently by prefix-projected pattern growth,Jiawei Han; Jian Pei; Behzad Mortazavi-Asl; Helen Pinto; Qiming Chen; Umeshwar Dayal; Meichun Hsu,Abstract Sequential pattern mining is an important data mining problem with broadapplications. It is challenging since one may need to examine a combinatorially explosivenumber of possible subsequence patterns. Most of the previously developed sequentialpattern mining methods follow the methodology of]･; ｧｦｩｨ ｦ ｨ which may substantially reducethe number of combinations to be examined. However;]; ｧｦｩｨ ｦ ｨ still encounters problemswhen a sequence database is large and/or when sequential patterns to be mined arenumerous and/or long. In this paper; we propose a novel sequential pattern mining method;called PrefixSpan (ie; Prefix-projected Sequential pattern mining); which exploresprefixprojection in sequential pattern mining. PrefixSpan mines the complete set of patternsbut greatly reduces the efforts of candidate subsequence generation. Moreover; prefix …,proceedings of the 17th international conference on data engineering,2001,2607
Mining frequent patterns without candidate generation: A frequent-pattern tree approach,Jiawei Han; Jian Pei; Yiwen Yin; Runying Mao,Abstract Mining frequent patterns in transaction databases; time-series databases; andmany other kinds of databases has been studied popularly in data mining research. Most ofthe previous studies adopt an Apriori-like candidate set generation-and-test approach.However; candidate set generation is still costly; especially when there exist a large numberof patterns and/or long patterns. In this study; we propose a novel frequent-pattern tree (FP-tree) structure; which is an extended prefix-tree structure for storing compressed; crucialinformation about frequent patterns; and develop an efficient FP-tree-based mining method;FP-growth; for mining the complete set of frequent patterns by pattern fragment growth.Efficiency of mining is achieved with three techniques:(1) a large database is compressedinto a condensed; smaller data structure; FP-tree which avoids costly; repeated database …,Data mining and knowledge discovery,2004,2476
CMAR: Accurate and efficient classification based on multiple class-association rules,Wenmin Li; Jiawei Han; Jian Pei,Previous studies propose that associative classification has high classification accuracy andstrong flexibility at handling unstructured data. However; it still suffers from the huge set ofmined rules and sometimes biased classification or overfitting since the classification isbased on only a single high-confidence rule. The authors propose a new associativeclassification method; CMAR; ie; Classification based on Multiple Association Rules. Themethod extends an efficient frequent pattern mining method; FP-growth; constructs a classdistribution-associated FP-tree; and mines large databases efficiently. Moreover; it applies aCR-tree structure to store and retrieve mined association rules efficiently; and prunes ruleseffectively based on confidence; correlation and database coverage. The classification isperformed based on a weighted/spl chi//sup 2/analysis using multiple strong association …,Data Mining; 2001. ICDM 2001; Proceedings IEEE International Conference on,2001,1463
Mining sequential patterns by pattern-growth: The prefixspan approach,Jian Pei; Jiawei Han; Behzad Mortazavi-Asl; Jianyong Wang; Helen Pinto; Qiming Chen; Umeshwar Dayal; Mei-Chun Hsu,Sequential pattern mining is an important data mining problem with broad applications.However; it is also a difficult problem since the mining may have to generate or examine acombinatorially explosive number of intermediate subsequences. Most of the previouslydeveloped sequential pattern mining methods; such as GSP; explore a candidategeneration-and-test approach [R. Agrawal et al.(1994)] to reduce the number of candidatesto be examined. However; this approach may not be efficient in mining large sequencedatabases having numerous patterns and/or long patterns. In this paper; we propose aprojection-based; sequential pattern-growth approach for efficient mining of sequentialpatterns. In this approach; a sequence database is recursively projected into a set of smallerprojected databases; and sequential patterns are grown in each projected database by …,IEEE Transactions on knowledge and data engineering,2004,1252
Closet: An efficient algorithm for mining frequent closed itemsets.,Jian Pei; Jiawei Han; Runying Mao,Abstract Association mining may often derive an undesirably large set of frequent itemsetsand association rules. Recent studies have proposed an interesting alternative: miningfrequent closed itemsets and their corresponding rules; which has the same power asassociation mining but substantially reduces the number of rules to be presented. In thispaper; we propose an efficient algorithm; CLOSET; for mining closed itemsets; with thedevelopment of three techniques:(1) applying a compressed; frequent pattern tree FP-treestructure for mining closed itemsets without candidate generation;(2) developing a singleprefix path compression technique to identify frequent closed itemsets quickly; and (3)exploring a partition-based projection mechanism for scalable mining in large databases.Our performance study shows that CLOSET is efficient and scalable over large databases …,ACM SIGMOD workshop on research issues in data mining and knowledge discovery,2000,1198
FreeSpan: frequent pattern-projected sequential pattern mining,Jiawei Han; Jian Pei; Behzad Mortazavi-Asl; Qiming Chen; Umeshwar Dayal; Mei-Chun Hsu,Abstract Sequential pattern mining is an important data mining problem with broadapplications. It is also a difficult problem since one may need to examine a combinatoriallyexplosive number of possible subsequence patterns. Most of the previously developedsequential pattern mining methods follow the methodology of Apriori since the Apriori-basedmethod may substantially reduce the number of combinations to be examined. However;Apriori still encounters problems when a sequence database is large and/or whensequential patterns to be mined are numerous and/or long. In this paper; we re-examine thesequential pattern mining problem and propose a novel; efficient sequential pattern miningmethod; called FreeSpan (ie; Frequent pattern-projected Sequential pattern mining). Thegeneral idea of the method is to integrate the mining of frequent sequences with that of …,Proceedings of the sixth ACM SIGKDD international conference on Knowledge discovery and data mining,2000,1033
Mining access patterns efficiently from web logs,Jian Pei; Jiawei Han; Behzad Mortazavi-Asl; Hua Zhu,Abstract With the explosive growth of data available on the World Wide Web; discovery andanalysis of useful information from the World Wide Web becomes a practical necessity. Webaccess pattern; which is the sequence of accesses pursued by users frequently; is a kind ofinteresting and useful knowledge in practice. In this paper; we study the problem of miningaccess patterns from Web logs efficiently. A novel data structure; called Web access patterntree; or WAP-tree in short; is developed for efficient mining of access patterns from pieces oflogs. The Web access pattern tree stores highly compressed; critical information for accesspattern mining and facilitates the development of novel algorithms for mining accesspatterns in large set of log pieces. Our algorithm can find access patterns from Web logsquite efficiently. The experimental and performance studies show that our method is in …,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2000,744
Closet+: Searching for the best strategies for mining frequent closed itemsets,Jianyong Wang; Jiawei Han; Jian Pei,Abstract Mining frequent closed itemsets provides complete and non-redundant results forfrequent pattern analysis. Extensive studies have proposed various strategies for efficientfrequent closed itemset mining; such as depth-first search vs. breadthfirst search; verticalformats vs. horizontal formats; tree-structure vs. other data structures; top-down vs. bottom-up traversal; pseudo projection vs. physical projection of conditional database; etc. It is theright time to ask" what are the pros and cons of the strategies?" and" what and how can wepick and integrate the best strategies to achieve higher performance in general cases?" Inthis study; we answer the above questions by a systematic study of the search strategies anddevelop a winning algorithm CLOSET+. CLOSET+ integrates the advantages of thepreviously proposed effective strategies as well as some ones newly developed here. A …,Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining,2003,742
