H-store: a high-performance; distributed main memory transaction processing system,Robert Kallman; Hideaki Kimura; Jonathan Natkins; Andrew Pavlo; Alexander Rasin; Stanley Zdonik; Evan PC Jones; Samuel Madden; Michael Stonebraker; Yang Zhang; John Hugg; Daniel J Abadi,Abstract Our previous work has shown that architectural and application shifts have resultedin modern OLTP databases increasingly falling short of optimal performance [10]. Inparticular; the availability of multiple-cores; the abundance of main memory; the lack of userstalls; and the dominant use of stored procedures are factors that portend a clean-slateredesign of RDBMSs. This previous work showed that such a redesign has the potential tooutperform legacy OLTP databases by a significant factor. These results; however; wereobtained using a bare-bones prototype that was developed just to demonstrate the potentialof such a system. We have since set out to design a more complete execution platform; andto implement some of the ideas presented in the original paper. Our demonstrationpresented here provides insight on the development of a distributed main memory OLTP …,Proceedings of the VLDB Endowment,2008,439
A demonstration of SciDB: a science-oriented DBMS,Philippe Cudré-Mauroux; Hideaki Kimura; K-T Lim; Jennie Rogers; Roman Simakov; Emad Soroush; Pavel Velikhov; Daniel L Wang; Magdalena Balazinska; Jacek Becla; D DeWitt; Bobbi Heath; David Maier; Samuel Madden; J Patel; Michael Stonebraker; S Zdonik,Abstract In CIDR 2009; we presented a collection of requirements for SciDB; a DBMS thatwould meet the needs of scientific users. These included a nested-array data model; science-specific operations such as regrid; and support for uncertainty; lineage; and named versions.In this paper; we present an overview of SciDB's key features and outline a demonstration ofthe first version of SciDB on data and operations from one of our lighthouse users; the LargeSynoptic Survey Telescope (LSST).,Proceedings of the VLDB Endowment,2009,153
FOEDUS: OLTP Engine for a Thousand Cores and NVRAM,Hideaki Kimura,Abstract Server hardware is about to drastically change. As typified by emerging hardwaresuch as UC Berkeley's Firebox project and by Intel's Rack-Scale Architecture (RSA); nextgeneration servers will have thousands of cores; large DRAM; and huge NVRAM. Weanalyze the characteristics of these machines and find that no existing database isappropriate. Hence; we are developing FOEDUS; an open-source; from-scratch databaseengine whose architecture is drastically different from traditional databases. It extends in-memory database technologies to further scale up and also allows transactions to efficientlymanipulate data pages in both DRAM and NVRAM. We evaluate the performance ofFOEDUS in a large NUMA machine (16 sockets and 240 physical cores) and find thatFOEDUS achieves multiple orders of magnitude higher TPC-C throughput compared to H …,SIGMOD '15 Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,57
Foster B-Trees,Goetz Graefe; Hideaki Kimura; Harumi Kuno,Abstract Foster B-trees are a new variant of B-trees that combines advantages of prior B-treevariants optimized for many-core processors and modern memory hierarchies with flashstorage and nonvolatile memory. Specific goals include:(i) minimal concurrency controlrequirements for the data structure;(ii) efficient migration of nodes to new storage locations;and (iii) support for continuous and comprehensive self-testing. Like B link-trees; Foster B-trees optimize latching without imposing restrictions or specific designs on transactionallocking; for example; key range locking. Like write-optimized B-trees; and unlike B link-trees;Foster B-trees enable large writes on RAID and flash devices as well as wear leveling andefficient defragmentation. Finally; they support continuous and inexpensive yetcomprehensive verification of all invariants; including all cross-node invariants of the B …,ACM Transactions on Database Systems (TODS),2012,49
CORADD: Correlation aware database designer for materialized views and indexes,Hideaki Kimura; George Huo; Alexander Rasin; Samuel Madden; Stanley B Zdonik,Abstract We describe an automatic database design tool that exploits correlations betweenattributes when recommending materialized views (MVs) and indexes. Although there is asubstantial body of related work exploring how to select an appropriate set of MVs andindexes for a given workload; none of this work has explored the effect of correlatedattributes (eg; attributes encoding related geographic information) on designs. Our toolidentifies a set of MVs and secondary indexes such that correlations between the clusteredattributes of the MVs and the secondary indexes are enhanced; which can dramaticallyimprove query performance. It uses a form of Integer Linear Programming (ILP) called ILPFeedback to pick the best set of MVs and indexes for given database size constraints. Wecompare our tool with a state-of-the-art commercial database designer on two workloads …,Proceedings of the VLDB Endowment,2010,46
In-memory performance for big data,Goetz Graefe; Haris Volos; Hideaki Kimura; Harumi Kuno; Joseph Tucek; Mark Lillibridge; Alistair Veitch,Abstract When a working set fits into memory; the overhead imposed by the buffer poolrenders traditional databases non-competitive with in-memory designs that sacrifice thebenefits of a buffer pool. However; despite the large memory available with modernhardware; data skew; shifting workloads; and complex mixed workloads make it difficult toguarantee that a working set will fit in memory. Hence; some recent work has focused onenabling in-memory databases to protect performance when the working data set almost fitsin memory. Contrary to those prior efforts; we enable buffer pool designs to match in-memoryperformance while supporting the" big data" workloads that continue to require secondarystorage; thus providing the best of both worlds. We introduce here a novel buffer pool designthat adapts pointer swizzling for references between system objects (as opposed to …,Proceedings of the VLDB Endowment,2014,28
Correlation maps: a compressed access method for exploiting soft functional dependencies,Hideaki Kimura; George Huo; Alexander Rasin; Samuel Madden; Stanley B Zdonik,Abstract In relational query processing; there are generally two choices for access pathswhen performing a predicate lookup for which no clustered index is available. One option isto use an unclustered index. Another is to perform a complete sequential scan of the table.Many analytical workloads do not benefit from the availability of unclustered indexes; thecost of random disk I/O becomes prohibitive for all but the most selective queries. It has beenobserved that a secondary index on an unclustered attribute can perform well under certainconditions if the unclustered attribute is correlated with a clustered index attribute [4]. Theclustered index will co-locate values and the correlation will localize access through theunclustered attribute to a subset of the pages. In this paper; we show that in a realapplication (SDSS) and widely used benchmark (TPC-H); there exist many cases of …,Proceedings of the VLDB Endowment,2009,25
Ss-db: A standard science dbms benchmark,Philippe Cudre-Mauroux; Hideaki Kimura; Kian-Tat Lim; Jennie Rogers; Samuel Madden; Michael Stonebraker; Stanley B Zdonik; Paul G Brown,*,Under submission,2010,21
Efficient locking techniques for databases on modern hardware.,Hideaki Kimura; Goetz Graefe; Harumi A Kuno,ABSTRACT Traditional database systems are driven by the assumption that disk I/O is theprimary bottleneck; overshadowing all other costs. However; future database systems will bedominated by many-core processors; large main memory; and low-latency semiconductormass storage. In the increasingly common case that the working data set fits in memory orlow-latency storage; new bottlenecks emerge: locking; latching; logging; and critical sectionsin the buffer manager. Prior work has addressed two of these–latching and logging. Thispaper addresses locking and proposes new mechanisms optimized for modern hardware.We devised new algorithms and methods to improve all components of database locking;including key range locking; intent locks; detection and recovery from deadlocks; and earlylock release. Most of the techniques are easily applicable to other database systems …,ADMS@ VLDB,2012,20
Upi: A primary index for uncertain databases,Hideaki Kimura; Samuel Madden; Stanley B Zdonik,Abstract Uncertain data management has received growing attention from industry andacademia. Many efforts have been made to optimize uncertain databases; including thedevelopment of special index data structures. However; none of these efforts have exploredprimary (clustered) indexes for uncertain databases; despite the fact that clustering has thepotential to offer substantial speedups for non-selective analytic queries on large uncertaindatabases. In this paper; we propose a new index called a UPI (Uncertain Primary Index)that clusters heap files according to uncertain attributes with both discrete and continuousuncertainty distributions. Because uncertain attributes may have several possible values; aUPI on an uncertain attribute duplicates tuple data once for each possible value. To preventthe size of the UPI from becoming unmanageable; its size is kept small by placing low …,Proceedings of the VLDB Endowment,2010,16
