Conference, Year, Topic, PID
sigmod,2018,Benchmarking and performance evaluation,r1quzEkAAAAJ
sigmod,2018,Crowd sourcing,X1-ovCkAAAAJ
sigmod,2018,Data models; semantics; query languages,gv2S7xYAAAAJ
sigmod,2018,Data provenance,mlafJ6wAAAAJ
sigmod,2018,Data visualization,*Shivnath Babu
sigmod,2018,Data warehousing; OLAP; SQL Analytics,H-VmFU4AAAAJ
sigmod,2018,Database monitoring and tuning,r1quzEkAAAAJ
sigmod,2018,Database security; privacy; access control,mlafJ6wAAAAJ
sigmod,2018,Database usability,sOY-wjkAAAAJ
sigmod,2018,Databases for emerging hardware,r1quzEkAAAAJ
sigmod,2018,Distributed and parallel databases,r1quzEkAAAAJ
sigmod,2018,Graph data management; RDF; social networks,iHevumsAAAAJ
sigmod,2018,Information extraction,N9wi5soAAAAJ
sigmod,2018,Information retrieval and text mining,H-VmFU4AAAAJ
sigmod,2018,Knowledge discovery; clustering; data mining,X1-ovCkAAAAJ
sigmod,2018,Query processing and optimization,*Shivnath Babu
sigmod,2018,Schema matching; data integration; and data cleaning,Qa_TAw4AAAAJ
sigmod,2018,Scientific databases,dQ-x9NQAAAAJ
sigmod,2018,Semi-structured data,2wJaIkEAAAAJ
sigmod,2018,Spatio-temporal databases,vX45evgAAAAJ
sigmod,2018,Storage; indexing; and physical database design,zxeEF2gAAAAJ
sigmod,2018,Streams; sensor networks; complex event processing,*Arvind Arasu
sigmod,2018,Transaction processing,zxeEF2gAAAAJ
sigmod,2018,Uncertain; probabilistic; and approximate database,r1quzEkAAAAJ
sigmod,2017,Benchmarking and performance evaluation,YdrkeNwAAAAJ
sigmod,2017,Crowdsourcing,VeB3UbcAAAAJ
sigmod,2017,Data models; semantics; query languages,6OEYXEIAAAAJ
sigmod,2017,Data provenance,sSzAlq0AAAAJ
sigmod,2017,Data visualization,sSzAlq0AAAAJ
sigmod,2017,Data warehousing; OLAP; SQL Analytics,YdrkeNwAAAAJ
sigmod,2017,Database monitoring and tuning,wb9DYOEAAAAJ
sigmod,2017,Database security; privacy; access control,wb9DYOEAAAAJ
sigmod,2017,Database usability,XbLPeQcAAAAJ
sigmod,2017,Databases for emerging hardware,SdGU2bMAAAAJ
sigmod,2017,Distributed and parallel databases,4VLZdawAAAAJ
sigmod,2017,Graph data management; RDF; social networks,XbLPeQcAAAAJ
sigmod,2017,Information extraction,bxSK7o8AAAAJ
sigmod,2017,Information retrieval and text mining,e8WrHMwAAAAJ
sigmod,2017,Knowledge discovery; clustering; data mining,e8WrHMwAAAAJ
sigmod,2017,Query processing and optimization,3FmJBHkAAAAJ
sigmod,2017,Schema matching; data integration; and data cleaning,e8WrHMwAAAAJ
sigmod,2017,Scientific databases,q6Ft35wAAAAJ
sigmod,2017,Semi-structured data,8RZQjpEAAAAJ
sigmod,2017,Spatio-temporal databases,3FmJBHkAAAAJ
sigmod,2017,Storage; indexing; and physical database design,KtP9-zYAAAAJ
sigmod,2017,Streams; sensor networks; complex event processing,XbLPeQcAAAAJ
sigmod,2017,Transaction processing,YdrkeNwAAAAJ
sigmod,2017,Uncertain; probabilistic; and approximate database,8RZQjpEAAAAJ
sigmod,2016,Benchmarking and performance evaluation,pOh1as0AAAAJ
sigmod,2016,Crowd sourcing,rMtUkMcAAAAJ
sigmod,2016,Data models; semantics; query languages,rMtUkMcAAAAJ
sigmod,2016,Data provenance,hcqjUUQAAAAJ
sigmod,2016,Data visualization,hcqjUUQAAAAJ
sigmod,2016,Data warehousing; OLAP; SQL Analytics,r1quzEkAAAAJ
sigmod,2016,Database monitoring and tuning,D2P2B0MAAAAJ
sigmod,2016,Database security; privacy; access control,Iqsl_XMAAAAJ
sigmod,2016,Database usability,r1quzEkAAAAJ
sigmod,2016,Databases for emerging hardware,GhGV4P8AAAAJ
sigmod,2016,Distributed and parallel databases,DDxFvcIAAAAJ
sigmod,2016,Graph data management; RDF; social networks,vq5oTnEAAAAJ
sigmod,2016,Information extraction,YwoezYX7JVgJ
sigmod,2016,Information retrieval and text mining,YwoezYX7JVgJ
sigmod,2016,Knowledge discovery; clustering; data mining,pOh1as0AAAAJ
sigmod,2016,Query processing and optimization,Iqsl_XMAAAAJ
sigmod,2016,Schema matching; data integration; and data cleaning,YG6mTEIAAAAJ
sigmod,2016,Scientific databases,GhGV4P8AAAAJ
sigmod,2016,Semi-structured data,hcqjUUQAAAAJ
sigmod,2016,Spatio-temporal databases,vq5oTnEAAAAJ
