"PID","Name","Affiliation","Duty","Conference","Year","City","State","Country","#Papers","#Citations"
"6OEYXEIAAAAJ","Philip A. Bernstein","Microsoft Research","Program Chair","sigmod","2018","Houston","Texas","USA",332,34161
"uGsKvHoAAAAJ","Xin Luna Dong","Principal Scientist;Amazon","Vice Chairs","sigmod","2018","Houston","Texas","USA",87,6685
"GHz1ZVIAAAAJ","Mohamed Mokbel","Chief Scientist; Qatar Computing Research Inst. -- Professor; Comp. Sci. & Eng.;Univ. of Minnesota","Vice Chairs","sigmod","2018","Houston","Texas","USA",263,9935
"zxeEF2gAAAAJ","Daniel J. Abadi","Darnell-Kanal Professor of Computer Science;University of Maryland College Park","Group Leaders","sigmod","2018","Houston","Texas","USA",96,15364
"vX45evgAAAAJ","Walid G. Aref","Professor of Computer Science;Purdue University","Group Leaders","sigmod","2018","Houston","Texas","USA",308,11821
"r1quzEkAAAAJ","Michael Cafarella","Assistant Professor of Computer Science;University of Michigan","Group Leaders","sigmod","2018","Houston","Texas","USA",92,7348
"Qa_TAw4AAAAJ","AnHai Doan","Professor of Computer Science;University of Wisconsin-Madison","Group Leaders","sigmod","2018","Houston","Texas","USA",155,12730
"dQ-x9NQAAAAJ","Bill Howe","University of Washington","Group Leaders","sigmod","2018","Houston","Texas","USA",145,3276
"2wJaIkEAAAAJ","Zachary G. Ives","Professor of Computer and Information Science;University of Pennsylvania","Group Leaders","sigmod","2018","Houston","Texas","USA",152,9681
"mlafJ6wAAAAJ","Gerome Miklau","Professor of Computer Science;University of Massachusetts; Amherst","Group Leaders","sigmod","2018","Houston","Texas","USA",87,5042
"X1-ovCkAAAAJ","Tova Milo","Professor of Computer Science;Tel Aviv University","Group Leaders","sigmod","2018","Houston","Texas","USA",253,9895
"H-VmFU4AAAAJ","Jeffrey Naughton","Google","Group Leaders","sigmod","2018","Houston","Texas","USA",346,21161
"N9wi5soAAAAJ","Erhard Rahm","Professor of Computer Science;University of Leipzig","Group Leaders","sigmod","2018","Houston","Texas","USA",263,21416
"gv2S7xYAAAAJ","Kenneth Ross","Columbia University","Group Leaders","sigmod","2018","Houston","Texas","USA",193,10198
"sOY-wjkAAAAJ","Wang-Chiew Tan","Research Scientist; Recruit Institute of Technology; Professor at UC Santa Cruz","Group Leaders","sigmod","2018","Houston","Texas","USA",112,7838
"iHevumsAAAAJ","Jeffrey Xu Yu","Chinese University of Hong Kong","Group Leaders","sigmod","2018","Houston","Texas","USA",2774,18606
"LKO-Pk8AAAAJ","Paul M Bertsch","Deputy Director-Science Land and Water Flagship;CSIRO","PC Members","sigmod","2018","Houston","Texas","USA",258,11291
"tcwyqtUAAAAJ","Ada Wai-Chee Fu","Chinese University of Hong Kong","PC Members","sigmod","2018","Houston","Texas","USA",270,14085
"_WVA7NYAAAAJ","Adam Silberstein","Google","PC Members","sigmod","2018","Houston","Texas","USA",58,4647
"M-FpUBoAAAAJ","Ahmed Aly","Master of Science Student; Computer and Systems Engineering; Ain Shams University","PC Members","sigmod","2018","Houston","Texas","USA",0,0
"Hs9cVRgAAAAJ","Alan Fekete","Professor of Enterprise Software Systems;University of Sydney","PC Members","sigmod","2018","Houston","Texas","USA",173,4768
"Jq3PXEQAAAAJ","Alexander Thomson","Yale University","PC Members","sigmod","2018","Houston","Texas","USA",15,559
"sOzdfjYAAAAJ","Alexandra Meliou","University of Massachusetts; Amherst","PC Members","sigmod","2018","Houston","Texas","USA",47,773
"7GMeGfgAAAAJ","Alkis Simitsis","Hewlett Packard Labs; Palo Alto","PC Members","sigmod","2018","Houston","Texas","USA",129,4326
"F_MI0pcAAAAJ","Alon Halevy","Recruit Institute of Technology","PC Members","sigmod","2018","Houston","Texas","USA",395,43323
"6f9jHBUAAAAJ","Margaret Shun Cheung","University of Houston","PC Members","sigmod","2018","Houston","Texas","USA",52,2876
"pOh1as0AAAAJ","Amol Deshpande","Professor","PC Members","sigmod","2018","Houston","Texas","USA",166,8820
"5FqFNgcAAAAJ","Andreas Thor","University of Leipzig","PC Members","sigmod","2018","Houston","Texas","USA",70,1640
"7qyHAfAAAAAJ","Andrey Gubichev","Google","PC Members","sigmod","2018","Houston","Texas","USA",21,426
"u1UDm4wAAAAJ","Andrew Pavlo","Carnegie Mellon University","PC Members","sigmod","2018","Houston","Texas","USA",56,3257
"UbW5_3YAAAAJ","Stefano Paraboschi","Professor of Computer Science and Engineering;UniversitÃ  degli Studi di Bergamo; Italy","PC Members","sigmod","2018","Houston","Texas","USA",223,10968
"HPYVJacAAAAJ","Anthony KH Tung","National University of Singapore","PC Members","sigmod","2018","Houston","Texas","USA",182,8653
"9AZkn6sAAAAJ","AndrÃ© R. Barbosa","Assistant Professor;Oregon State University","PC Members","sigmod","2018","Houston","Texas","USA",94,356
"hZQ57XcAAAAJ","Arun Kumar","University of California; San Diego","PC Members","sigmod","2018","Houston","Texas","USA",26,770
"47sihrsAAAAJ","Ashraf Aboulnaga","Qatar Computing Research Institute; HBKU","PC Members","sigmod","2018","Houston","Texas","USA",84,3384
"A0hv6xwAAAAJ","Ashwin Machanavajjhala","Assistant Professor;Duke University","PC Members","sigmod","2018","Houston","Texas","USA",90,6571
"APs1p2oAAAAJ","Avigdor Gal","Technion -- Israel Institute of Technology","PC Members","sigmod","2018","Houston","Texas","USA",267,3441
"6TOQpT4AAAAJ","Azade Nazi","Postdoc Researcher; Data Management; Exploration and Mining Group (DMX); Microsoft Research","PC Members","sigmod","2018","Houston","Texas","USA",21,178
"RkddXygAAAAJ","Azza Abouzied","Assistant Professor of Computer Science; New York University Abu Dhabi","PC Members","sigmod","2018","Houston","Texas","USA",36,1463
"o5k9wxUAAAAJ","Dr Zheng Baihua (éƒ‘ç™½æ¡¦)","Associate Professor of School of Information Systems;Singapore Management University","PC Members","sigmod","2018","Houston","Texas","USA",122,3398
"HHd7uewAAAAJ","Barzan Mozafari","Assistant Professor;University of Michigan (Ann Arbor)","PC Members","sigmod","2018","Houston","Texas","USA",48,1467
"9560QjYAAAAJ","Beng Chin Ooi","National University of Singapore","PC Members","sigmod","2018","Houston","Texas","USA",340,18261
"IJAU8KoAAAAJ","bin cui","Professor of Computer Science;Peking University","PC Members","sigmod","2018","Houston","Texas","USA",164,3104
"RogYLKYAAAAJ","Bingsheng He; ä½•ä¸™èƒœ","Associate Professor; Department of Computer Science;National University of Singapore","PC Members","sigmod","2018","Houston","Texas","USA",218,5330
"Uk9v1BQAAAAJ","Bongki Moon","Professor of Computer Science & Engineering; Seoul Naitonal University","PC Members","sigmod","2018","Houston","Texas","USA",112,6515
"HF2G3LAAAAAJ","Boon Thau Loo","University of Pennsylvania","PC Members","sigmod","2018","Houston","Texas","USA",220,6707
"6Oy7DZUAAAAJ","Brian Cooper","Student of Public Administration; California State University; Bakersfield","PC Members","sigmod","2018","Houston","Texas","USA",1,0
