PID,Duty, Title, Author, Co-Author1, Co-Author2, Co-Author3, Co-Author4, Co-Author5, Conference, Year, #Citations
0EWw1z8AAAAJ,PC@VLDB, Data-intensive text processing with MapReduce, Jimmy Lin,  Chris Dyer, , , , , Synthesis Lectures on Human Language Technologies,2010,688
0EWw1z8AAAAJ,PC@VLDB, Searching for SNPs with cloud computing, Ben Langmead,  Michael C Schatz,  Jimmy Lin,  Mihai Pop,  Steven L Salzberg, , Genome Biology,2009,460
0EWw1z8AAAAJ,PC@VLDB, Web question answering: Is more always better?, Susan Dumais,  Michele Banko,  Eric Brill,  Jimmy Lin,  Andrew Ng, , SIGIR,2002,406
0EWw1z8AAAAJ,PC@VLDB, Cloud computing and information policy: Computing in a policy cloud?, Paul T Jaeger,  Jimmy Lin,  Justin M Grimes, , , , Journal of Information Technology & Politics,2008,390
0EWw1z8AAAAJ,PC@VLDB, Quantitative evaluation of passage retrieval algorithms for question answering, Stefanie Tellex,  Boris Katz,  Jimmy Lin,  Aaron Fernandes,  Gregory Marton, , SIGIR,2003,375
0EWw1z8AAAAJ,PC@VLDB, Data-intensive question answering, Eric Brill,  Jimmy Lin,  Michele Banko,  Susan Dumais,  Andrew Ng, , TREC,2001,373
0EWw1z8AAAAJ,PC@VLDB, Overview of the TREC 2007 Question Answering Track, Hoa Trang Dang,  Diane Kelly,  Jimmy Lin, , , , TREC,2007,314
0EWw1z8AAAAJ,PC@VLDB, WTF: The Who to Follow service at Twitter, Pankaj Gupta,  Ashish Goel,  Jimmy Lin,  Aneesh Sharma,  Dong Wang,  Reza Zadeh, WWW,2013,260
0EWw1z8AAAAJ,PC@VLDB, Evaluation of PICO as a knowledge representation for clinical questions, Xiaoli Huang,  Jimmy Lin,  Dina Demner-Fushman, , , , AMIA annual symposium proceedings,2006,246
0EWw1z8AAAAJ,PC@VLDB, Design patterns for efficient graph algorithms in MapReduce, Jimmy Lin,  Michael Schatz, , , , , Proceedings of the Eighth Workshop on Mining and Learning with Graphs,2010,225
0EWw1z8AAAAJ,PC@VLDB, Pairwise document similarity in large collections with MapReduce, Tamer Elsayed,  Jimmy Lin,  Douglas W. Oard, , , , ACL,2008,224
0EWw1z8AAAAJ,PC@VLDB, Answering clinical questions with knowledge-based and statistical techniques, Dina Demner-Fushman,  Jimmy Lin, , , , , Computational Linguistics,2007,224
0EWw1z8AAAAJ,PC@VLDB, Overview of the TREC-2011 Microblog Track, Iadh Ounis,  Craig Macdonald,  Jimmy Lin,  Ian Soboroff, , , Proceedings of the 20th Text REtrieval Conference (TREC 2011),2011,203
0EWw1z8AAAAJ,PC@VLDB, PubMed related articles: A probabilistic topic-based model for content similarity, Jimmy Lin,  W John Wilbur, , , , , BMC bioinformatics,2007,182
0EWw1z8AAAAJ,PC@VLDB, Omnibase: Uniform access to heterogeneous data for question answering, Boris Katz,  Sue Felshin,  Deniz Yuret,  Ali Ibrahim,  Jimmy Lin,  Gregory Marton, International Conference on Application of Natural Language to Information Systems,2002,156
0EWw1z8AAAAJ,PC@VLDB, Large-scale machine learning at Twitter, Jimmy Lin,  Alek Kolcz, , , , , Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,147
0EWw1z8AAAAJ,PC@VLDB, Earlybird: Real-time search at Twitter, Michael Busch,  Krishna Gade,  Brian Larson,  Patrick Lok,  Samuel Luckenbill,  Jimmy Lin, 2012 IEEE 28th International Conference on Data Engineering,2012,144
0EWw1z8AAAAJ,PC@VLDB, Extracting structural paraphrases from aligned monolingual corpora, Ali Ibrahim,  Boris Katz,  Jimmy Lin, , , , Proceedings of the second international workshop on Paraphrasing-Volume 16,2003,140
0EWw1z8AAAAJ,PC@VLDB, Question answering from the web using knowledge annotation and knowledge mining techniques, Jimmy Lin,  Boris Katz, , , , , Proceedings of the twelfth international conference on Information and knowledge management,2003,139
0EWw1z8AAAAJ,PC@VLDB, Information network or social network? The structure of the Twitter follow graph, Seth A Myers,  Aneesh Sharma,  Pankaj Gupta,  Jimmy Lin, , , Proceedings of the 23rd International Conference on World Wide Web,2014,135
0EWw1z8AAAAJ,PC@VLDB, Where is the cloud? Geography; economics; environment; and jurisdiction in cloud computing, Paul T Jaeger,  Jimmy Lin,  Justin M Grimes,  Shannon N Simmons, , , First Monday,2009,129
0EWw1z8AAAAJ,PC@VLDB, Selectively using relations to improve precision in question answering, Boris Katz,  Jimmy Lin, , , , , Proceedings of the workshop on Natural Language Processing for Question Answering (EACL 2003),2003,129
0EWw1z8AAAAJ,PC@VLDB, What makes a good answer? The role of context in question answering, Jimmy Lin,  Dennis Quan,  Vineet Sinha,  Karun Bakshi,  David Huynh,  Boris Katz, Proceedings of the Ninth IFIP TC13 International Conference on Human-Computer Interaction (INTERACT 2003),2003,121
