PID, Name, Affiliation
6OEYXEIAAAAJ,Philip A. Bernstein,Microsoft Research
uGsKvHoAAAAJ,Xin Luna Dong,Principal Scientist;Amazon
GHz1ZVIAAAAJ,Mohamed Mokbel,Chief Scientist; Qatar Computing Research Inst. -- Professor; Comp. Sci. & Eng.;Univ. of Minnesota
zxeEF2gAAAAJ,Daniel J. Abadi,Darnell-Kanal Professor of Computer Science;University of Maryland College Park
vX45evgAAAAJ,Walid G. Aref,Professor of Computer Science;Purdue University
r1quzEkAAAAJ,Michael Cafarella,Assistant Professor of Computer Science;University of Michigan
Qa_TAw4AAAAJ,AnHai Doan,Professor of Computer Science;University of Wisconsin-Madison
dQ-x9NQAAAAJ,Bill Howe,University of Washington
2wJaIkEAAAAJ,Zachary G. Ives,Professor of Computer and Information Science;University of Pennsylvania
mlafJ6wAAAAJ,Gerome Miklau,Professor of Computer Science;University of Massachusetts; Amherst
X1-ovCkAAAAJ,Tova Milo,Professor of Computer Science;Tel Aviv University
H-VmFU4AAAAJ,Jeffrey Naughton,Google
N9wi5soAAAAJ,Erhard Rahm,Professor of Computer Science;University of Leipzig
gv2S7xYAAAAJ,Kenneth Ross,Columbia University
sOY-wjkAAAAJ,Wang-Chiew Tan,Research Scientist; Recruit Institute of Technology; Professor at UC Santa Cruz
iHevumsAAAAJ,Jeffrey Xu Yu,Chinese University of Hong Kong
LKO-Pk8AAAAJ,Paul M Bertsch,Deputy Director-Science Land and Water Flagship;CSIRO
tcwyqtUAAAAJ,Ada Wai-Chee Fu,Chinese University of Hong Kong
_WVA7NYAAAAJ,Adam Silberstein,Google
M-FpUBoAAAAJ,Ahmed Aly,Master of Science Student; Computer and Systems Engineering; Ain Shams University
Hs9cVRgAAAAJ,Alan Fekete,Professor of Enterprise Software Systems;University of Sydney
Jq3PXEQAAAAJ,Alexander Thomson,Yale University
sOzdfjYAAAAJ,Alexandra Meliou,University of Massachusetts; Amherst
7GMeGfgAAAAJ,Alkis Simitsis,Hewlett Packard Labs; Palo Alto
F_MI0pcAAAAJ,Alon Halevy,Recruit Institute of Technology
6f9jHBUAAAAJ,Margaret Shun Cheung,University of Houston
pOh1as0AAAAJ,Amol Deshpande,Professor
5FqFNgcAAAAJ,Andreas Thor,University of Leipzig
7qyHAfAAAAAJ,Andrey Gubichev,Google
