PID, Role, Conference, Year
6OEYXEIAAAAJ,Program Chair,sigmod,2018
uGsKvHoAAAAJ,Vice Chairs,sigmod,2018
GHz1ZVIAAAAJ,Vice Chairs,sigmod,2018
zxeEF2gAAAAJ,Group Leaders,sigmod,2018
vX45evgAAAAJ,Group Leaders,sigmod,2018
r1quzEkAAAAJ,Group Leaders,sigmod,2018
Qa_TAw4AAAAJ,Group Leaders,sigmod,2018
dQ-x9NQAAAAJ,Group Leaders,sigmod,2018
2wJaIkEAAAAJ,Group Leaders,sigmod,2018
mlafJ6wAAAAJ,Group Leaders,sigmod,2018
X1-ovCkAAAAJ,Group Leaders,sigmod,2018
H-VmFU4AAAAJ,Group Leaders,sigmod,2018
N9wi5soAAAAJ,Group Leaders,sigmod,2018
gv2S7xYAAAAJ,Group Leaders,sigmod,2018
sOY-wjkAAAAJ,Group Leaders,sigmod,2018
iHevumsAAAAJ,Group Leaders,sigmod,2018
LKO-Pk8AAAAJ,PC Members,sigmod,2018
tcwyqtUAAAAJ,PC Members,sigmod,2018
_WVA7NYAAAAJ,PC Members,sigmod,2018
M-FpUBoAAAAJ,PC Members,sigmod,2018
Hs9cVRgAAAAJ,PC Members,sigmod,2018
Jq3PXEQAAAAJ,PC Members,sigmod,2018
sOzdfjYAAAAJ,PC Members,sigmod,2018
-18k9ocAAAAJ,PC Members,sigmod,2018
7GMeGfgAAAAJ,PC Members,sigmod,2018
F_MI0pcAAAAJ,PC Members,sigmod,2018
6f9jHBUAAAAJ,PC Members,sigmod,2018
pOh1as0AAAAJ,PC Members,sigmod,2018
5FqFNgcAAAAJ,PC Members,sigmod,2018
7qyHAfAAAAAJ,PC Members,sigmod,2018
u1UDm4wAAAAJ,PC Members,sigmod,2018
UbW5_3YAAAAJ,PC Members,sigmod,2018
HPYVJacAAAAJ,PC Members,sigmod,2018
9AZkn6sAAAAJ,PC Members,sigmod,2018
hZQ57XcAAAAJ,PC Members,sigmod,2018
47sihrsAAAAJ,PC Members,sigmod,2018
A0hv6xwAAAAJ,PC Members,sigmod,2018
APs1p2oAAAAJ,PC Members,sigmod,2018
6TOQpT4AAAAJ,PC Members,sigmod,2018
RkddXygAAAAJ,PC Members,sigmod,2018
o5k9wxUAAAAJ,PC Members,sigmod,2018
HHd7uewAAAAJ,PC Members,sigmod,2018
9560QjYAAAAJ,PC Members,sigmod,2018
IJAU8KoAAAAJ,PC Members,sigmod,2018
RogYLKYAAAAJ,PC Members,sigmod,2018
Uk9v1BQAAAAJ,PC Members,sigmod,2018
HF2G3LAAAAAJ,PC Members,sigmod,2018
6Oy7DZUAAAAJ,PC Members,sigmod,2018
Iqsl_XMAAAAJ,PC Members,sigmod,2018
EkrwLHoAAAAJ,PC Members,sigmod,2018
lWw-l1EAAAAJ,PC Members,sigmod,2018
v8ZQDf8AAAAJ,PC Members,sigmod,2018
bMQIencAAAAJ,PC Members,sigmod,2018
gMOBKfUAAAAJ,PC Members,sigmod,2018
bSWreJ4AAAAJ,PC Members,sigmod,2018
4eeIj2gAAAAJ,PC Members,sigmod,2018
PsBGmRcAAAAJ,PC Members,sigmod,2018
7yQLkCMAAAAJ,PC Members,sigmod,2018
2BnMsFIAAAAJ,PC Members,sigmod,2018
8Wq9hTEAAAAJ,PC Members,sigmod,2018
7BPMWSkAAAAJ,PC Members,sigmod,2018
kGKlHp0AAAAJ,PC Members,sigmod,2018
XcaEg-cAAAAJ,PC Members,sigmod,2018
bEpmUQ0AAAAJ,PC Members,sigmod,2018
iIFHZ1UAAAAJ,PC Members,sigmod,2018
KAkAdrEAAAAJ,PC Members,sigmod,2018
3r_xVvkAAAAJ,PC Members,sigmod,2018
j6KFCRAAAAAJ,PC Members,sigmod,2018
JzoifEMAAAAJ,PC Members,sigmod,2018
qPDhlWkAAAAJ,PC Members,sigmod,2018
WFFamJkAAAAJ,PC Members,sigmod,2018
0VFi-vAAAAAJ,PC Members,sigmod,2018
4fAH8jIAAAAJ,PC Members,sigmod,2018
gpLVKmEAAAAJ,PC Members,sigmod,2018
Pi89P8kAAAAJ,PC Members,sigmod,2018
SKVnHakAAAAJ,PC Members,sigmod,2018
EYHcnl4AAAAJ,PC Members,sigmod,2018
HHveg2kAAAAJ,PC Members,sigmod,2018
zbbxc90AAAAJ,PC Members,sigmod,2018
1jP_gqcAAAAJ,PC Members,sigmod,2018
l0_smaMAAAAJ,PC Members,sigmod,2018
FJ7im7AAAAAJ,PC Members,sigmod,2018
C77agCsAAAAJ,PC Members,sigmod,2018
AZREOBUAAAAJ,PC Members,sigmod,2018
5bYRZ4sAAAAJ,PC Members,sigmod,2018
113myEYAAAAJ,PC Members,sigmod,2018
kVUa9ZoAAAAJ,PC Members,sigmod,2018
fykfPiwAAAAJ,PC Members,sigmod,2018
fKV65XQAAAAJ,PC Members,sigmod,2018
5tcfuXMAAAAJ,PC Members,sigmod,2018
Ftj1h4cAAAAJ,PC Members,sigmod,2018
gM2WW9UAAAAJ,PC Members,sigmod,2018
UhJRkaIAAAAJ,PC Members,sigmod,2018
BGh9WU4AAAAJ,PC Members,sigmod,2018
jfdT_HIAAAAJ,PC Members,sigmod,2018
X9NC1jIAAAAJ,PC Members,sigmod,2018
dWcZPFEAAAAJ,PC Members,sigmod,2018
ca7BUlkAAAAJ,PC Members,sigmod,2018
mADR4AYAAAAJ,PC Members,sigmod,2018
QY-earAAAAAJ,PC Members,sigmod,2018
_RCsaOsAAAAJ,PC Members,sigmod,2018
jZgjlGUAAAAJ,PC Members,sigmod,2018
gtglwgYAAAAJ,PC Members,sigmod,2018
jJ8BLgsAAAAJ,PC Members,sigmod,2018
1JhvxSEAAAAJ,PC Members,sigmod,2018
DDxFvcIAAAAJ,PC Members,sigmod,2018
oJ6G8gUAAAAJ,PC Members,sigmod,2018
RyXHY68AAAAJ,PC Members,sigmod,2018
DuLgpaQAAAAJ,PC Members,sigmod,2018
wuj5y3MAAAAJ,PC Members,sigmod,2018
WemX9rAAAAAJ,PC Members,sigmod,2018
kOc0x0MAAAAJ,PC Members,sigmod,2018
Lx9fbJoAAAAJ,PC Members,sigmod,2018
FzNzuBsAAAAJ,PC Members,sigmod,2018
qXb4xQMAAAAJ,PC Members,sigmod,2018
poXWlycAAAAJ,PC Members,sigmod,2018
jOvUDjYAAAAJ,PC Members,sigmod,2018
Qc_4yiYAAAAJ,PC Members,sigmod,2018
B6C4aBoAAAAJ,PC Members,sigmod,2018
-NdSrrYAAAAJ,PC Members,sigmod,2018
YwoezYX7JVgJ,PC Members,sigmod,2018
CaO1wNAAAAAJ,PC Members,sigmod,2018
TKSjVTUAAAAJ,PC Members,sigmod,2018
qG1LVpQAAAAJ,PC Members,sigmod,2018
vYcHYoYAAAAJ,PC Members,sigmod,2018
JTmMb3kAAAAJ,PC Members,sigmod,2018
SqAsppUAAAAJ,PC Members,sigmod,2018
IKgiD0AAAAAJ,PC Members,sigmod,2018
aPB--KUAAAAJ,PC Members,sigmod,2018
7R7MSb4AAAAJ,PC Members,sigmod,2018
OLfQNfEAAAAJ,PC Members,sigmod,2018
pyZ_FH4AAAAJ,PC Members,sigmod,2018
KtP9-zYAAAAJ,PC Members,sigmod,2018
OiVJBdAAAAAJ,PC Members,sigmod,2018
XxQq8nsAAAAJ,PC Members,sigmod,2018
uF3-t9EAAAAJ,PC Members,sigmod,2018
MTZaRW4AAAAJ,PC Members,sigmod,2018
8qdXaOkAAAAJ,PC Members,sigmod,2018
2cpal78AAAAJ,PC Members,sigmod,2018
o0F3sqEAAAAJ,PC Members,sigmod,2018
4_1z8yEAAAAJ,PC Members,sigmod,2018
k3YaoIEAAAAJ,PC Members,sigmod,2018
aiulJmIAAAAJ,PC Members,sigmod,2018
w6hts30AAAAJ,PC Members,sigmod,2018
rg6Bl5YAAAAJ,PC Members,sigmod,2018
vzfO5TwAAAAJ,PC Members,sigmod,2018
LKgo-jcAAAAJ,PC Members,sigmod,2018
dwxm_CoAAAAJ,PC Members,sigmod,2018
ZUzG5igAAAAJ,PC Members,sigmod,2018
ZfUyYtEAAAAJ,PC Members,sigmod,2018
biuxbRsAAAAJ,PC Members,sigmod,2018
IukO3bIAAAAJ,PC Members,sigmod,2018
ewCT-KkAAAAJ,PC Members,sigmod,2018
VKfq59gAAAAJ,PC Members,sigmod,2018
nKR2tGvMLFMC,PC Members,sigmod,2018
Md2HV1cAAAAJ,PC Members,sigmod,2018
u0S6ofAAAAAJ,PC Members,sigmod,2018
Owype4oAAAAJ,PC Members,sigmod,2018
oPGhz_cAAAAJ,PC Members,sigmod,2018
YYzvyMQAAAAJ,PC Members,sigmod,2018
Jp_w2IwAAAAJ,PC Members,sigmod,2018
y6m820wAAAAJ,PC Members,sigmod,2018
BpgsGX0AAAAJ,PC Members,sigmod,2018
XZV2eogAAAAJ,PC Members,sigmod,2018
Y1aOQ3QAAAAJ,PC Members,sigmod,2018
BtpxluIAAAAJ,PC Members,sigmod,2018
81cvn3sAAAAJ,PC Members,sigmod,2018
FI1rYesAAAAJ,PC Members,sigmod,2018
K-isjagAAAAJ,PC Members,sigmod,2018
XbLPeQcAAAAJ,PC Members,sigmod,2018
r1VFrkAAAAAJ,PC Members,sigmod,2018
9LTwX4cAAAAJ,PC Members,sigmod,2018
9u7wNjUAAAAJ,PC Members,sigmod,2018
_XE_jhQAAAAJ,PC Members,sigmod,2018
3FmJBHkAAAAJ,PC Members,sigmod,2018
