PID, Duty, Conference, Year, City, State, Country
6OEYXEIAAAAJ,Program Chair,sigmod,2018,Houston,Texas,USA
uGsKvHoAAAAJ,Vice Chairs,sigmod,2018,Houston,Texas,USA
GHz1ZVIAAAAJ,Vice Chairs,sigmod,2018,Houston,Texas,USA
zxeEF2gAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
vX45evgAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
r1quzEkAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
Qa_TAw4AAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
dQ-x9NQAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
2wJaIkEAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
mlafJ6wAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
X1-ovCkAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
H-VmFU4AAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
N9wi5soAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
gv2S7xYAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
sOY-wjkAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
iHevumsAAAAJ,Group Leaders,sigmod,2018,Houston,Texas,USA
LKO-Pk8AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
tcwyqtUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
_WVA7NYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
M-FpUBoAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Hs9cVRgAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Jq3PXEQAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
sOzdfjYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
7GMeGfgAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
F_MI0pcAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
6f9jHBUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
pOh1as0AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
5FqFNgcAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
7qyHAfAAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
u1UDm4wAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
UbW5_3YAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
HPYVJacAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
9AZkn6sAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
hZQ57XcAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
47sihrsAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
A0hv6xwAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
APs1p2oAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
6TOQpT4AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
RkddXygAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
o5k9wxUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
HHd7uewAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
9560QjYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
IJAU8KoAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
RogYLKYAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Uk9v1BQAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
HF2G3LAAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
6Oy7DZUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
Iqsl_XMAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
EkrwLHoAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
lWw-l1EAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
v8ZQDf8AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
bMQIencAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
gMOBKfUAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
